iter  res_double64      res_float32      res_posit32q      res_posit32n      res_float32fma      pAp_dynrange      pAp_mag      sat_frac_pq      sat_frac_pn      pAp_double        pAp_naive        cond_pAp          n_eff
   0  3.4024591077e+02  3.4024442042e+02  3.4024591291e+02  3.4024579810e+02  3.4024442042e+02  5.620329e+06  4.000039e+01  0.000000e+00  0.000000e+00  4.0000394636e+01  4.0000396252e+01  1.362404e+10  1805
   1  3.7752914926e+02  3.7752375753e+02  3.7752911725e+02  3.7752928280e+02  3.7752375753e+02  2.770420e+06  2.815938e-04  0.000000e+00  0.000000e+00  2.8159381876e-04  2.8159374051e-04  5.748293e+16  1806
   2  1.2192966993e+03  1.2192737593e+03  1.2192968260e+03  1.2192969286e+03  1.2192736567e+03  1.882668e+07  4.336786e-04  0.000000e+00  0.000000e+00  4.3367858244e-04  4.3367864419e-04  1.453808e+15  1805
   3  6.5745966163e+02  6.5745109134e+02  6.5745971835e+02  6.5746016990e+02  6.5745094874e+02  5.593430e+06  3.081608e-03  0.000000e+00  0.000000e+00  3.0816077301e-03  3.0816078070e-03  1.446856e+15  1806
   4  9.3737059963e+02  9.3733665244e+02  9.3737082443e+02  9.3737142452e+02  9.3733631904e+02  6.941059e+06  9.810549e-04  0.000000e+00  0.000000e+00  9.8105490310e-04  9.8105563666e-04  1.697246e+16  1806
   5  1.3404195212e+03  1.3403669274e+03  1.3404198969e+03  1.3404209227e+03  1.3403665543e+03  8.219542e+06  3.677190e-03  0.000000e+00  0.000000e+00  3.6771890791e-03  3.6771941232e-03  3.332052e+15  1805
   6  9.0234102185e+02  9.0233603081e+02  9.0234119101e+02  9.0234209145e+02  9.0233634250e+02  2.565902e+07  6.881331e-03  0.000000e+00  0.000000e+00  6.8813287007e-03  6.8813408143e-03  5.222660e+15  1765
   7  9.7415946486e+02  9.7408120170e+02  9.7416018318e+02  9.7416082476e+02  9.7408209998e+02  2.268122e+07  3.352230e-03  0.000000e+00  0.000000e+00  3.3522283533e-03  3.3522341400e-03  1.616222e+17  1765
   8  9.9322690542e+02  9.9317376375e+02  9.9322756708e+02  9.9322769293e+02  9.9317571456e+02  2.118177e+07  6.257031e-03  0.000000e+00  0.000000e+00  6.2570275607e-03  6.2570422306e-03  3.640511e+16  1765
   9  8.4541051775e+02  8.4540600453e+02  8.4541132740e+02  8.4541180794e+02  8.4540748311e+02  1.009754e+08  3.595582e-03  0.000000e+00  0.000000e+00  3.5955790371e-03  3.5955885542e-03  4.047281e+15  1764
