iter  res_double64      res_float32      res_posit32q      res_posit32n      res_float32fma      pAp_dynrange      pAp_mag      sat_frac_pq      sat_frac_pn      pAp_double        pAp_naive        cond_pAp          n_eff
   0  3.1571490241e+01  3.1571507262e+01  3.1571490105e+01  3.1571491071e+01  3.1571507262e+01  5.915482e+02  2.382743e-03  0.000000e+00  0.000000e+00  2.3827425312e-03  2.3827424739e-03  7.620825e+15  66
   1  5.3620766221e+01  5.3620761233e+01  5.3620765786e+01  5.3620767493e+01  5.3620761233e+01  1.739354e+02  7.827904e-02  0.000000e+00  0.000000e+00  7.8279043857e-02  7.8279049136e-02  7.042050e+15  66
   2  4.8049963261e+01  4.8050038006e+01  4.8049961156e+01  4.8049966237e+01  4.8050035465e+01  1.510362e+03  2.377379e-01  0.000000e+00  0.000000e+00  2.3773789779e-01  2.3773790989e-01  3.105406e+15  66
   3  3.9640346649e+01  3.9640410979e+01  3.9640345156e+01  3.9640346696e+01  3.9640394042e+01  1.106078e+03  3.764362e-01  0.000000e+00  0.000000e+00  3.7643623633e-01  3.7643628940e-01  3.815348e+15  66
   4  3.4589790714e+01  3.4589884114e+01  3.4589787064e+01  3.4589787064e+01  3.4589875291e+01  5.435516e+02  2.160375e-01  0.000000e+00  0.000000e+00  2.1603747946e-01  2.1603750903e-01  3.188270e+15  66
   5  3.6306003377e+01  3.6306127413e+01  3.6305994603e+01  3.6305990821e+01  3.6306139180e+01  5.410589e+03  1.527227e-01  0.000000e+00  0.000000e+00  1.5272264336e-01  1.5272265114e-01  5.813812e+15  66
   6  4.0723104897e+01  4.0723234596e+01  4.0723089589e+01  4.0723085842e+01  4.0723252581e+01  7.230788e+01  9.426947e-02  0.000000e+00  0.000000e+00  9.4269513313e-02  9.4269473106e-02  6.145436e+15  66
   7  5.2532681574e+01  5.2532869640e+01  5.2532652374e+01  5.2532644822e+01  5.2532892877e+01  8.557275e+03  1.464943e-01  0.000000e+00  0.000000e+00  1.4649445777e-01  1.4649429545e-01  1.060939e+16  66
   8  5.8050481371e+01  5.8050618150e+01  5.8050420484e+01  5.8050407341e+01  5.8050681235e+01  1.486786e+03  2.934455e-01  0.000000e+00  0.000000e+00  2.9344574728e-01  2.9344550148e-01  6.538836e+15  66
   9  3.9904185789e+01  3.9904354950e+01  3.9904125136e+01  3.9904126666e+01  3.9904416131e+01  7.610583e+03  6.820892e-01  0.000000e+00  0.000000e+00  6.8209028191e-01  6.8208873644e-01  2.865213e+15  66
