iter  res_double64      res_float32      res_posit32q      res_posit32n      res_float32fma      pAp_dynrange      pAp_mag      sat_frac_pq      sat_frac_pn      pAp_double        pAp_naive        cond_pAp          n_eff
   0  8.8017279951e+01  8.8017262933e+01  8.8017279576e+01  8.8017297605e+01  8.8017271254e+01  1.507116e+05  3.286505e-05  0.000000e+00  0.000000e+00  3.2865054665e-05  3.2865051253e-05  6.288325e+15  48
   1  1.1389185038e+02  1.1389184151e+02  1.1389183294e+02  1.1389190796e+02  1.1389186295e+02  5.783751e+03  9.529715e-06  0.000000e+00  0.000000e+00  9.5297126655e-06  9.5297164080e-06  3.109035e+15  48
   2  1.3582409381e+02  1.3582409062e+02  1.3582415174e+02  1.3582420926e+02  1.3582409062e+02  2.832385e+04  4.206055e-06  0.000000e+00  0.000000e+00  4.2060556721e-06  4.2060582928e-06  7.473967e+15  48
   3  1.2894586964e+02  1.2894590678e+02  1.2894586512e+02  1.2894581211e+02  1.2894587649e+02  3.641805e+04  1.814487e-05  0.000000e+00  0.000000e+00  1.8144875465e-05  1.8144884052e-05  3.796806e+16  48
   4  2.3775473731e+02  2.3775542186e+02  2.3775506452e+02  2.3775514256e+02  2.3775531507e+02  1.193208e+05  5.566396e-05  0.000000e+00  0.000000e+00  5.5663910140e-05  5.5663973399e-05  4.376453e+15  48
   5  3.9061064728e+02  3.9061295981e+02  3.9061165977e+02  3.9061157977e+02  3.9061189978e+02  2.377317e+04  6.075073e-05  0.000000e+00  0.000000e+00  6.0750701861e-05  6.0750708144e-05  4.133693e+15  48
   6  2.1315599548e+02  2.1315753967e+02  2.1315700823e+02  2.1315709986e+02  2.1315694409e+02  1.799787e+03  3.456339e-04  0.000000e+00  0.000000e+00  3.4563242526e-04  3.4563399822e-04  3.733728e+14  48
   7  6.2336586752e+01  6.2337029713e+01  6.2336853472e+01  6.2336857388e+01  6.2336890678e+01  8.795615e+03  6.182852e-05  0.000000e+00  0.000000e+00  6.1827856890e-05  6.1828530306e-05  3.482782e+14  48
   8  2.5558054983e+01  2.5558423900e+01  2.5558138524e+01  2.5558136435e+01  2.5558120614e+01  1.392343e+04  8.917533e-06  0.000000e+00  0.000000e+00  8.9174476754e-06  8.9175318863e-06  5.175415e+14  48
   9  7.3510441913e+01  7.3512099743e+01  7.3510455783e+01  7.3510474049e+01  7.3510352826e+01  1.399567e+04  9.699469e-07  0.000000e+00  0.000000e+00  9.6993737074e-07  9.6994665455e-07  2.101957e+15  48
  10  1.0198562586e+02  1.0198752892e+02  1.0198571438e+02  1.0198575029e+02  1.0198574311e+02  2.231955e+04  3.048449e-06  0.000000e+00  0.000000e+00  3.0484545229e-06  3.0484484341e-06  1.047770e+15  48
  11  1.3967228790e+02  1.3967418141e+02  1.3967264323e+02  1.3967247542e+02  1.3967136372e+02  6.038313e+04  4.242085e-06  0.000000e+00  0.000000e+00  4.2420841368e-06  4.2420883801e-06  9.726253e+14  48
  12  1.1920831743e+02  1.1920946884e+02  1.1920888106e+02  1.1920881962e+02  1.1920512291e+02  1.202525e+04  9.091800e-06  0.000000e+00  0.000000e+00  9.0917711672e-06  9.0917747002e-06  1.163535e+15  48
  13  7.0280358517e+01  7.0280655983e+01  7.0280591718e+01  7.0280640351e+01  7.0278932960e+01  6.342815e+04  2.955451e-05  0.000000e+00  0.000000e+00  2.9554366094e-05  2.9554497814e-05  7.069073e+14  48
