iter  res_double64      res_float32      res_posit32q      res_posit32n      res_float32fma      pAp_dynrange      pAp_mag      sat_frac_pq      sat_frac_pn      pAp_double        pAp_naive        cond_pAp          n_eff
   0  2.2196733709e+01  2.2196727972e+01  2.2196733643e+01  2.2196732956e+01  2.2196727972e+01  1.995911e+04  3.609138e-04  0.000000e+00  0.000000e+00  3.6091382813e-04  3.6091384391e-04  9.197774e+15  153
   1  3.9436407570e+01  3.9436393420e+01  3.9436406962e+01  3.9436406188e+01  3.9436394968e+01  1.455950e+04  3.551965e-04  0.000000e+00  0.000000e+00  3.5519651651e-04  3.5519653466e-04  1.139822e+16  153
   2  5.1441963284e+01  5.1441932904e+01  5.1441961973e+01  5.1441960194e+01  5.1441959007e+01  8.991553e+03  8.345317e-04  0.000000e+00  0.000000e+00  8.3453166051e-04  8.3453163097e-04  1.640797e+16  153
   3  7.9110605166e+01  7.9110580119e+01  7.9110609436e+01  7.9110600178e+01  7.9110654184e+01  2.118042e+04  1.342985e-03  0.000000e+00  0.000000e+00  1.3429849624e-03  1.3429848186e-03  7.020938e+15  153
   4  7.2384638111e+01  7.2384650290e+01  7.2384636799e+01  7.2384635113e+01  7.2384677273e+01  4.641485e+02  4.185388e-03  0.000000e+00  0.000000e+00  4.1853881371e-03  4.1853878647e-03  7.662623e+15  153
   5  7.3494747201e+01  7.3494708435e+01  7.3494739993e+01  7.3494753281e+01  7.3494834667e+01  8.437751e+03  3.914983e-03  0.000000e+00  0.000000e+00  3.9149838598e-03  3.9149837685e-03  9.479337e+15  153
   6  5.0949443878e+01  5.0949428243e+01  5.0949443217e+01  5.0949445014e+01  5.0949492932e+01  5.890596e+03  5.827280e-03  0.000000e+00  0.000000e+00  5.8272808029e-03  5.8272808674e-03  6.024858e+15  153
   7  5.0992813383e+01  5.0992809312e+01  5.0992809312e+01  5.0992810509e+01  5.0992873947e+01  1.685837e+03  2.051877e-03  0.000000e+00  0.000000e+00  2.0518773171e-03  2.0518776728e-03  1.870815e+16  153
   8  5.5321050637e+01  5.5321046744e+01  5.5321017507e+01  5.5321027437e+01  5.5321112942e+01  2.345245e+04  1.938621e-03  0.000000e+00  0.000000e+00  1.9386213429e-03  1.9386210188e-03  6.555990e+15  153
   9  6.3920604502e+01  6.3920629877e+01  6.3920559217e+01  6.3920546804e+01  6.3920660432e+01  1.181973e+04  2.262552e-03  0.000000e+00  0.000000e+00  2.2625543369e-03  2.2625531419e-03  1.354770e+16  153
  10  6.7747706554e+01  6.7747744139e+01  6.7747648642e+01  6.7747636029e+01  6.7747762157e+01  1.260126e+04  2.105510e-03  0.000000e+00  0.000000e+00  2.1055127928e-03  2.1055095131e-03  1.806091e+16  153
  11  7.7614256147e+01  7.7614274370e+01  7.7614173712e+01  7.7614146974e+01  7.7614296389e+01  2.158586e+04  2.517659e-03  0.000000e+00  0.000000e+00  2.5176629801e-03  2.5176581694e-03  9.001851e+15  153
  12  1.1083915891e+02  1.1083909808e+02  1.1083901879e+02  1.1083898355e+02  1.1083909808e+02  6.158362e+04  2.015894e-03  0.000000e+00  0.000000e+00  2.0158978719e-03  2.0158924744e-03  1.093021e+16  153
  13  1.0096375987e+02  1.0096361891e+02  1.0096362858e+02  1.0096359715e+02  1.0096362858e+02  6.430162e+03  4.936144e-03  0.000000e+00  0.000000e+00  4.9361567460e-03  4.9361418351e-03  1.054089e+16  153
  14  8.4500553457e+01  8.4500364043e+01  8.4500394380e+01  8.4500407382e+01  8.4500456498e+01  1.752082e+04  4.516640e-03  0.000000e+00  0.000000e+00  4.5166529109e-03  4.5166377677e-03  5.763886e+15  153
  15  7.4203931735e+01  7.4203718873e+01  7.4203786320e+01  7.4203768225e+01  7.4203830737e+01  2.294030e+03  4.749292e-03  0.000000e+00  0.000000e+00  4.7493111334e-03  4.7492957674e-03  1.447041e+16  153
  16  5.0452640979e+01  5.0452459639e+01  5.0452543717e+01  5.0452503190e+01  5.0452469317e+01  4.338013e+03  4.353071e-03  0.000000e+00  0.000000e+00  4.3530859309e-03  4.3530653347e-03  3.614742e+15  153
  17  3.8254798849e+01  3.8254561807e+01  3.8254718165e+01  3.8254702210e+01  3.8254633604e+01  2.478847e+03  1.554803e-03  0.000000e+00  0.000000e+00  1.5548086593e-03  1.5548002557e-03  5.051320e+15  153
  18  4.2859820359e+01  4.2859340822e+01  4.2859709301e+01  4.2859739919e+01  4.2859654119e+01  2.031776e+04  6.889948e-04  0.000000e+00  0.000000e+00  6.8899810128e-04  6.8899423059e-04  5.277105e+15  153
  19  6.1991975359e+01  6.1991466304e+01  6.1991746415e+01  6.1991719831e+01  6.1991438736e+01  2.636524e+04  7.918373e-04  0.000000e+00  0.000000e+00  7.9184228624e-04  7.9183785419e-04  4.450517e+15  153
  20  6.4108679733e+01  6.4107868844e+01  6.4108390576e+01  6.4108367726e+01  6.4108466740e+01  3.734522e+03  1.877297e-03  0.000000e+00  0.000000e+00  1.8773105631e-03  1.8772954936e-03  1.149775e+16  153
  21  7.9475273267e+01  7.9471619345e+01  7.9474957055e+01  7.9475579116e+01  7.9478073455e+01  3.293406e+05  1.211332e-03  0.000000e+00  0.000000e+00  1.2113433318e-03  1.2113283447e-03  9.965230e+15  153
  22  7.9556586751e+01  7.9557780447e+01  7.9555929987e+01  7.9555440513e+01  7.9553579257e+01  2.626463e+04  3.431121e-03  0.000000e+00  0.000000e+00  3.4311590327e-03  3.4311143681e-03  7.870015e+15  153
