iter  res_double64      res_float32      res_posit32q      res_posit32n      res_float32fma      pAp_dynrange      pAp_mag      sat_frac_pq      sat_frac_pn      pAp_double        pAp_naive        cond_pAp          n_eff
   0  1.1443511047e+02  1.1443507644e+02  1.1443511270e+02  1.1443509990e+02  1.1443507644e+02  8.272246e+05  2.135917e-05  0.000000e+00  0.000000e+00  2.1359165908e-05  2.1359166567e-05  2.050863e+15  112
   1  6.3646040933e+01  6.3645993590e+01  6.3646048251e+01  6.3646065033e+01  6.3646018523e+01  8.421422e+05  5.734934e-06  0.000000e+00  0.000000e+00  5.7349324029e-06  5.7349316194e-06  2.253173e+15  112
   2  1.1232640047e+02  1.1232639383e+02  1.1232638296e+02  1.1232642643e+02  1.1232641556e+02  3.226060e+06  7.586790e-06  0.000000e+00  0.000000e+00  7.5867811964e-06  7.5867883425e-06  4.745364e+15  112
   3  1.4539027121e+02  1.4539024802e+02  1.4539038235e+02  1.4539045288e+02  1.4539032190e+02  1.203797e+06  4.341950e-06  0.000000e+00  0.000000e+00  4.3419538346e-06  4.3419536269e-06  4.392639e+15  112
   4  1.3905355163e+02  1.3905348285e+02  1.3905381995e+02  1.3905386560e+02  1.3905354606e+02  3.113296e+05  1.609396e-05  0.000000e+00  0.000000e+00  1.6093944247e-05  1.6093976228e-05  3.400306e+15  112
   5  1.1878262655e+02  1.1878251200e+02  1.1878273398e+02  1.1878281619e+02  1.1878263943e+02  2.335302e+05  8.954971e-06  0.000000e+00  0.000000e+00  8.9549382075e-06  8.9549739641e-06  5.452449e+15  112
   6  1.1565145445e+02  1.1565131880e+02  1.1565167133e+02  1.1565183177e+02  1.1565138635e+02  4.446202e+04  8.265428e-06  0.000000e+00  0.000000e+00  8.2654146248e-06  8.2654414655e-06  2.363823e+15  112
   7  2.4414866881e+02  2.4414837638e+02  2.4414824038e+02  2.4414842838e+02  2.4414852037e+02  3.656378e+04  4.532330e-06  0.000000e+00  0.000000e+00  4.5323176492e-06  4.5323376980e-06  2.995357e+15  112
   8  2.2112036550e+02  2.2111963850e+02  2.2112015964e+02  2.2111945743e+02  2.2111987699e+02  1.088235e+06  1.217539e-05  0.000000e+00  0.000000e+00  1.2175339419e-05  1.2175450138e-05  3.178960e+15  112
   9  1.4586387008e+02  1.4586337786e+02  1.4586265479e+02  1.4586166391e+02  1.4586352515e+02  2.197756e+04  5.357141e-06  0.000000e+00  0.000000e+00  5.3571195211e-06  5.3571329772e-06  5.840595e+15  112
  10  9.2477592605e+01  9.2477451855e+01  9.2477964014e+01  9.2477979854e+01  9.2477721135e+01  9.930357e+04  1.021370e-05  0.000000e+00  0.000000e+00  1.0213696324e-05  1.0213668247e-05  2.556636e+15  112
  11  2.4856703984e+02  2.4856645238e+02  2.4856744636e+02  2.4856683347e+02  2.4856690026e+02  1.008766e+05  2.720948e-06  0.000000e+00  0.000000e+00  2.7209319469e-06  2.7209437121e-06  4.992798e+15  112
  12  2.6858713279e+02  2.6858665094e+02  2.6858465844e+02  2.6858381490e+02  2.6858633098e+02  1.627799e+05  5.584171e-06  0.000000e+00  0.000000e+00  5.5841857837e-06  5.5841687754e-06  9.303232e+15  112
  13  1.6529309990e+02  1.6529295135e+02  1.6529179927e+02  1.6529109030e+02  1.6529280956e+02  4.072176e+04  6.462258e-06  0.000000e+00  0.000000e+00  6.4623261910e-06  6.4622659011e-06  4.683427e+15  112
  14  1.7541585103e+02  1.7541591201e+02  1.7541701708e+02  1.7541866494e+02  1.7541591758e+02  9.388386e+03  6.946897e-06  0.000000e+00  0.000000e+00  6.9469607538e-06  6.9469197115e-06  9.125774e+15  112
  15  1.8354604654e+02  1.8354604965e+02  1.8354508664e+02  1.8354611882e+02  1.8354600709e+02  5.414061e+04  1.417997e-05  0.000000e+00  0.000000e+00  1.4180078081e-05  1.4179960999e-05  7.442893e+15  112
  16  4.0849509713e+02  4.0849539089e+02  4.0849305762e+02  4.0849370788e+02  4.0849489363e+02  5.845678e+03  3.490807e-06  0.000000e+00  0.000000e+00  3.4908363979e-06  3.4908157431e-06  2.921143e+16  112
  17  3.6036727557e+02  3.6036752073e+02  3.6036470242e+02  3.6036365097e+02  3.6036666440e+02  3.003406e+04  8.319031e-06  0.000000e+00  0.000000e+00  8.3191493202e-06  8.3190161604e-06  6.887212e+15  112
  18  2.3361968941e+02  2.3361963276e+02  2.3361920639e+02  2.3361877583e+02  2.3361833692e+02  8.146681e+05  8.318644e-06  0.000000e+00  0.000000e+00  8.3187479356e-06  8.3186205302e-06  5.306488e+15  112
  19  1.3660012618e+02  1.3659986617e+02  1.3659931926e+02  1.3659908334e+02  1.3660044524e+02  1.581794e+03  8.647879e-06  0.000000e+00  0.000000e+00  8.6479848517e-06  8.6478439698e-06  4.471197e+15  112
  20  1.1967398577e+02  1.1967479942e+02  1.1967414253e+02  1.1967571336e+02  1.1967131092e+02  1.178990e+03  6.860998e-06  0.000000e+00  0.000000e+00  6.8610939671e-06  6.8609974733e-06  3.055943e+15  112
  21  8.3094109591e+01  8.3092316178e+01  8.3094845917e+01  8.3092466025e+01  8.3095730279e+01  5.584362e+04  5.535060e-06  0.000000e+00  0.000000e+00  5.5351310149e-06  5.5350769799e-06  3.003472e+15  112
  22  9.4505509985e+01  9.4509889116e+01  9.4503164733e+01  9.4509075395e+01  9.4502345788e+01  1.248699e+04  1.227779e-06  0.000000e+00  0.000000e+00  1.2277942311e-06  1.2277763517e-06  2.195989e+15  112
  23  8.6971255796e+01  8.6965951154e+01  8.6971969825e+01  8.6973867416e+01  8.6963915829e+01  5.362377e+04  2.834538e-06  0.000000e+00  0.000000e+00  2.8345773463e-06  2.8345225473e-06  3.296325e+15  112
  24  6.9866520438e+01  6.9872858168e+01  6.9860157818e+01  6.9846909884e+01  6.9889358710e+01  1.723759e+04  2.945086e-06  0.000000e+00  0.000000e+00  2.9451382323e-06  2.9450905004e-06  2.214700e+15  112
  25  6.0904792638e+01  6.0888830725e+01  6.0919810634e+01  6.0941603928e+01  6.0857210729e+01  5.587692e+04  1.536724e-06  0.000000e+00  0.000000e+00  1.5367441150e-06  1.5367130572e-06  2.462380e+15  112
  26  6.2193509502e+01  6.2211152851e+01  6.2181596179e+01  6.2141245754e+01  6.2266609152e+01  2.762194e+04  1.127859e-06  0.000000e+00  0.000000e+00  1.1278304542e-06  1.1278217471e-06  2.604278e+15  112
  27  7.1656796176e+01  7.1682966972e+01  7.1570868097e+01  7.1710101262e+01  7.1505934249e+01  8.969474e+03  8.224270e-07  0.000000e+00  0.000000e+00  8.2231675983e-07  8.2234748788e-07  2.153659e+15  112
  28  7.9403464245e+01  7.9366925647e+01  8.0011548544e+01  7.9576980652e+01  7.9914630353e+01  3.181526e+04  7.602920e-07  0.000000e+00  0.000000e+00  7.5804194715e-07  7.5895434293e-07  3.771583e+15  112
  29  6.8023730804e+01  6.8865570475e+01  6.8121658103e+01  6.8085300574e+01  6.7724795675e+01  8.701228e+03  2.414480e-06  0.000000e+00  0.000000e+00  2.3548898645e-06  2.3806587706e-06  4.314116e+15  112
  30  1.0733040122e+02  1.0581368133e+02  1.1446304671e+02  1.0815698813e+02  1.1333837784e+02  2.623567e+04  1.136058e-06  0.000000e+00  0.000000e+00  1.0040409403e-06  1.0671521977e-06  8.662655e+15  112
  31  1.0403805968e+02  1.0034067945e+02  8.5064727193e+01  9.5656890618e+01  8.9223894335e+01  3.044885e+05  6.167872e-06  0.000000e+00  0.000000e+00  4.6362127018e-06  5.6190333453e-06  1.128412e+16  112
  32  1.0012849145e+02  9.2644160257e+01  9.6572233530e+01  9.5041266222e+01  9.6579685971e+01  5.577665e+03  3.838231e-06  0.000000e+00  0.000000e+00  4.9473353473e-06  4.3630075197e-06  8.822983e+15  112
  33  6.8660133493e+01  7.2051590133e+01  7.2079171627e+01  7.0751149091e+01  7.1473259040e+01  1.478343e+05  3.799549e-06  0.000000e+00  0.000000e+00  3.9080091696e-06  3.8641414903e-06  1.656550e+16  112
  34  6.9880481981e+01  7.4313209627e+01  7.6376667011e+01  7.6505741078e+01  7.5618397826e+01  8.008669e+03  1.617309e-06  0.000000e+00  0.000000e+00  9.5499916708e-07  1.4779801631e-06  3.526204e+16  112
  35  7.5768626100e+01  8.3044277652e+01  8.1075175498e+01  8.2424725958e+01  8.1534603706e+01  1.304435e+05  2.500801e-06  0.000000e+00  0.000000e+00  1.0968594266e-06  2.6000302569e-06  9.587888e+15  112
  36  7.7915217463e+01  7.3803883256e+01  7.3856900807e+01  7.4310553420e+01  7.3298175684e+01  7.291714e+04  1.967037e-06  0.000000e+00  0.000000e+00  8.2698512392e-07  2.1166840725e-06  1.621415e+16  112
  37  7.8144013097e+01  7.7654404530e+01  7.7431328257e+01  7.4673503199e+01  8.0894885017e+01  7.063140e+03  8.058933e-07  0.000000e+00  0.000000e+00  1.9427080222e-06  7.9307039869e-07  6.357144e+15  112
