layer,float32,double64,posit32,posit32_quire
L1,-2.2501182556152344,-2.2501185260011161,-2.25011850893497467e+00,-2.25011852383613586e+00
L1,-1.7939555644989014,-1.7939553322826158,-1.79395533353090286e+00,-1.79395532608032227e+00
L1,0.95393574237823486,0.95393581463436272,9.53935809433460236e-01,9.53935816884040833e-01
L1,-4.8264636993408203,-4.8264643825106628,-4.82646441459655762e+00,-4.82646438479423523e+00
L1,1.4582375288009644,1.4582377282635925,1.45823772996664047e+00,1.45823772996664047e+00
L1,0.67023873329162598,0.67023882019157677,6.70238830149173737e-01,6.70238822698593140e-01
L1,5.5369791984558105,5.5369789881266174,5.53697896003723145e+00,5.53697898983955383e+00
L1,-1.8705406188964844,-1.8705404348479231,-1.87054042518138885e+00,-1.87054044008255005e+00
L1,1.5985565185546875,1.5985563811830692,1.59855637699365616e+00,1.59855638444423676e+00
L1,0.70138669013977051,0.70138675170100151,7.01386757194995880e-01,7.01386753469705582e-01
L1,0.23462574183940887,0.23462564042681963,2.34625639393925667e-01,2.34625639393925667e-01
L1,-1.398101806640625,-1.3981017363160348,-1.39810172468423843e+00,-1.39810173958539963e+00
L1,0.71881496906280518,0.7188148786418721,7.18814890831708908e-01,7.18814879655838013e-01
L1,2.5357489585876465,2.5357491513471002,2.53574915230274200e+00,2.53574915230274200e+00
L1,1.7768537998199463,1.7768539884676231,1.77685399353504181e+00,1.77685399353504181e+00
L1,1.1063600778579712,1.106359777490989,1.10635977983474731e+00,1.10635978728532791e+00
L1,-3.5713944435119629,-3.5713937362815686,-3.57139372825622559e+00,-3.57139372825622559e+00
L1,-0.075312696397304535,-0.075312828887524177,-7.53128305077552795e-02,-7.53128281794488430e-02
L1,2.9074583053588867,2.9074585595407565,2.90745858848094940e+00,2.90745855867862701e+00
L1,2.7618815898895264,2.7618816731112901,2.76188167929649353e+00,2.76188167929649353e+00
L1,4.0357069969177246,4.0357074479326931,4.03570747375488281e+00,4.03570744395256042e+00
L1,2.3797388076782227,2.3797385414242695,2.37973855435848236e+00,2.37973853945732117e+00
