iter  res_double64      res_float32      res_posit32q      res_posit32n      res_float32fma      pAp_dynrange      pAp_mag
   0  1.1686109466e+04  1.1685696556e+04  1.1686110730e+04  1.1685212536e+04  1.1685697241e+04  1.235310e+15  3.911956e+02
   1  1.0232660695e+04  1.0232085222e+04  1.0232659869e+04  1.0231878029e+04  1.0232087568e+04  2.035103e+12  3.488182e+02
   2  8.7264551214e+03  8.7257517728e+03  8.7264544919e+03  8.7254790126e+03  8.7257558985e+03  1.621383e+12  6.853720e+02
   3  7.9985440013e+03  7.9977106724e+03  7.9985438675e+03  7.9977306781e+03  7.9977109225e+03  1.155384e+11  5.785147e+02
   4  7.6765412133e+03  7.6756352180e+03  7.6765408877e+03  7.6757748795e+03  7.6756279222e+03  2.460629e+11  3.845814e+02
   5  1.1080246563e+04  1.1078565611e+04  1.1080245485e+04  1.1079028116e+04  1.1078549364e+04  7.423542e+10  6.854108e+02
   6  9.6288564179e+03  9.6271474488e+03  9.6288566299e+03  9.6276917275e+03  9.6271304136e+03  2.924385e+10  5.179576e+02
   7  1.0076633777e+04  1.0074572745e+04  1.0076632771e+04  1.0075483115e+04  1.0074565599e+04  4.010021e+10  9.027316e+02
   8  9.2282709220e+03  9.2260639495e+03  9.2282696103e+03  9.2271772498e+03  9.2260487751e+03  2.437097e+11  4.964323e+02
   9  8.1868246743e+03  8.1846319404e+03  8.1868245370e+03  8.1858990954e+03  8.1846170344e+03  8.141451e+11  5.544357e+02
  10  8.5068361756e+03  8.5043998025e+03  8.5068367799e+03  8.5058210656e+03  8.5043809886e+03  5.601288e+10  3.643523e+02
  11  8.8370980533e+03  8.8342628442e+03  8.8370981663e+03  8.8360407423e+03  8.8342383939e+03  4.092528e+10  4.516538e+02
  12  8.4467919504e+03  8.4439005205e+03  8.4467934744e+03  8.4456815000e+03  8.4438891513e+03  8.903897e+09  4.784906e+02
  13  8.4964391129e+03  8.4933541078e+03  8.4964406665e+03  8.4954011088e+03  8.4933385662e+03  1.285117e+10  3.764991e+02
  14  9.5117717975e+03  9.5081203190e+03  9.5117729157e+03  9.5105802136e+03  9.5081064361e+03  3.408136e+10  4.787228e+02
  15  9.7428506661e+03  9.7390024130e+03  9.7428521491e+03  9.7417895687e+03  9.7389962522e+03  4.581567e+10  4.231614e+02
  16  1.2714827308e+04  1.2709488109e+04  1.2714829138e+04  1.2713180562e+04  1.2709463561e+04  6.968821e+09  5.506387e+02
