matrix=data/matrices/mhd4800b.mtx n=4800 seed=32
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n abs_dot_d cond_xy_d rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
bnorm=3.8245551294e+00
0 7.8069807284e-01 7.8069224475e-01 7.8069224475e-01 8.2915619759e-01 1.0000000000e+00 7.8093743747e-01 7.8467997059e-01 7.8069807584e-01 7.8069797802e-01 7.8069807284e-01 7.8069807284e-01 2.5488738130e+02 2.5488761166e+02 2.5488762999e+02 2.5488737520e+02 2.5488738816e+02 5.1880496130e+01 4.8000000000e+01 1.6000000000e+01 5.1875000000e+01 4.4625000000e+01 5.1880496025e+01 5.1880484581e+01 5.1880496130e+01 5.1880496130e+01 5.1945636131e+01 1.0012555778e+00 4.1918219790e+01 4.1918219566e+01 4.1918212414e+01 0 0 0 0 0 0 0 0
1 3.8294392716e-01 3.8294235285e-01 3.8294237230e-01 3.1868871960e-01 4.6770717335e-01 3.8273277231e-01 3.6309218871e-01 3.8294393244e-01 3.8294378530e-01 3.8294392716e-01 3.8294392716e-01 1.0848059336e+02 1.0848036786e+02 1.0848035872e+02 1.0848059471e+02 1.0848061955e+02 3.2241605977e+00 5.0000000000e+00 4.5000000000e+00 3.2128906250e+00 2.8935546875e+00 3.2241605967e+00 3.2241611332e+00 3.2241605977e+00 3.2241605977e+00 3.2634086196e+00 1.0121730977e+00 2.8607836517e+00 2.8607836366e+00 2.8607833683e+00 0 0 0 0 0 0 0 0
2 1.5466521333e-01 1.5466478403e-01 1.5466477800e-01 1.1726039400e+00 8.6602540378e-01 1.5487677814e-01 1.6280207800e-01 1.5466521682e-01 1.5466515811e-01 1.5466521333e-01 1.5466521333e-01 6.0335170282e+01 6.0335123099e+01 6.0335119171e+01 6.0335158501e+01 6.0335156521e+01 4.9621491911e-01 2.5000000000e+00 1.7500000000e+00 4.9621582031e-01 4.3994140625e-01 4.9621492997e-01 4.9621473067e-01 4.9621491911e-01 4.9621491911e-01 5.0197766383e-01 1.0116134048e+00 4.6888036520e-01 4.6888037585e-01 4.6888016351e-01 0 0 0 0 0 0 0 0
3 2.9492786013e-02 2.9492707201e-02 2.9492708187e-02 5.5425625842e+01 3.1622776602e+00 2.9329409019e-02 2.8655079592e-02 2.9492787626e-02 2.9492762956e-02 2.9492786013e-02 2.9492786013e-02 2.9713528375e+01 2.9713531390e+01 2.9713530765e+01 2.9713531740e+01 2.9713545231e+01 8.4559066625e-02 7.5000000000e-01 1.0000000000e+00 8.6090087891e-02 7.5256347656e-02 8.4559058771e-02 8.4559005219e-02 8.4559066625e-02 8.4559066625e-02 8.8623810917e-02 1.0480698813e+00 7.9720290340e-02 7.9720287584e-02 7.9720230773e-02 0 1 0 0 0 0 0 0
4 1.9786529514e-02 1.9786540909e-02 1.9786531348e-02 6.4000000000e+01 4.0960000000e+03 2.0367825796e-02 2.0120505643e-02 1.9786525097e-02 1.9786504872e-02 1.9786529514e-02 1.9786529514e-02 3.0852878375e+01 3.0852901403e+01 3.0852903038e+01 3.0852878095e+01 3.0852869438e+01 1.9248596915e-02 1.6777216000e+07 1.0000000000e+00 2.0568847656e-02 1.7440795898e-02 1.9248589873e-02 1.9248573342e-02 1.9248596915e-02 1.9248596915e-02 1.9588396276e-02 1.0176532016e+00 1.4186540782e-02 1.4186536428e-02 1.4186523738e-02 0 1 0 0 0 0 0 0
5 1.2441392449e-02 1.2441283512e-02 1.2441274739e-02 6.4000000000e+01 4.0960000000e+03 1.2467915366e-02 1.1718750000e-02 1.2441389072e-02 1.2441365679e-02 1.2441392449e-02 1.2441392449e-02 1.7653638854e+01 1.7653655314e+01 1.7653661803e+01 1.7653647240e+01 1.7653625091e+01 3.3735579021e-03 1.6777216000e+07 1.6777216000e+07 3.3645629883e-03 2.6931762695e-03 3.3735575271e-03 3.3735531033e-03 3.3735579021e-03 3.3735579021e-03 3.7059147050e-03 1.0985181854e+00 3.5448891723e-03 3.5448881099e-03 3.5448863637e-03 0 0 0 0 0 0 0 0
6 4.9931789113e-03 4.9931494773e-03 4.9931420092e-03 1.2800000000e+02 4.0960000000e+03 4.9675268431e-03 4.9192972851e-03 4.9931771638e-03 4.9931724279e-03 4.9931789113e-03 4.9931789113e-03 1.4818820767e+01 1.4818864523e+01 1.4818863558e+01 1.4818836021e+01 1.4818796933e+01 8.5248709730e-04 1.6777216000e+07 1.6777216000e+07 8.4400177002e-04 7.4195861816e-04 8.5248672985e-04 8.5248777759e-04 8.5248709730e-04 8.5248709730e-04 9.3508063606e-04 1.0968853828e+00 1.0508545335e-03 1.0508539854e-03 1.0508555279e-03 0 0 0 0 0 0 0 0
7 2.5953824486e-03 2.5953690658e-03 2.5953751107e-03 1.0240000000e+03 4.0960000000e+03 2.5895023725e-03 2.9296875000e-03 2.5953811556e-03 2.5953780017e-03 2.5953824486e-03 2.5953824486e-03 1.2236305147e+01 1.2236323553e+01 1.2236330079e+01 1.2236329179e+01 1.2236271140e+01 1.4629055956e-04 1.6777216000e+07 1.0000000000e+00 1.4591217041e-04 1.8119812012e-04 1.4629045472e-04 1.4629061479e-04 1.4629055956e-04 1.4629055956e-04 1.5926518809e-04 1.0886908121e+00 1.9692229497e-04 1.9692213391e-04 1.9692250498e-04 0 1 0 0 0 0 0 0
8 1.3073876290e-03 1.3073648382e-03 1.3073683600e-03 4.0960000000e+03 4.0960000000e+03 1.2831906764e-03 1.3810679320e-03 1.3073860994e-03 1.3073817516e-03 1.3073876290e-03 1.3073876290e-03 1.0798501273e+01 1.0798569939e+01 1.0798561996e+01 1.0798520447e+01 1.0798463516e+01 4.6295351153e-05 1.6777216000e+07 1.6777216000e+07 4.6730041504e-05 8.9168548584e-05 4.6295310312e-05 4.6295439461e-05 4.6295351153e-05 4.6295351153e-05 4.9584337920e-05 1.0710435645e+00 5.4233037546e-05 5.4232968978e-05 5.4233134506e-05 0 0 0 0 0 0 0 0
9 6.3302725523e-04 6.3302366483e-04 6.3302225053e-04 4.0960000000e+03 4.0960000000e+03 5.7256051756e-04 8.4131156934e-04 6.3302516892e-04 6.3302319340e-04 6.3302725523e-04 6.3302725523e-04 8.7602078688e+00 8.7602043461e+00 8.7602199411e+00 8.7602462496e+00 8.7601597954e+00 7.5824958034e-06 1.6777216000e+07 1.6777216000e+07 8.1062316895e-06 1.6152858734e-05 7.5824827945e-06 7.5825164458e-06 7.5824958034e-06 7.5824958034e-06 7.8630892495e-06 1.0370054206e+00 1.1727675707e-05 1.1727640413e-05 1.1727704987e-05 0 0 0 0 0 0 0 0
10 5.1478022692e-04 5.1477538951e-04 5.1477345709e-04 4.0960000000e+03 4.0960000000e+03 4.3800964644e-04 6.7138671875e-04 5.1477751517e-04 5.1477486500e-04 5.1478022692e-04 5.1478022692e-04 7.7451201047e+00 7.7452529840e+00 7.7452234641e+00 7.7451081591e+00 7.7450603796e+00 3.2188877427e-06 1.6777216000e+07 1.6777216000e+07 4.4405460358e-06 5.2750110626e-06 3.2188722798e-06 3.2188945625e-06 3.2188877427e-06 3.2188877427e-06 3.3676888502e-06 1.0462274921e+00 5.1023482390e-06 5.1023152992e-06 5.1023539527e-06 0 0 0 0 0 0 0 0
11 4.5126585327e-04 4.5123185250e-04 4.5123971005e-04 4.0960000000e+03 4.0960000000e+03 4.5058664124e-04 5.3904790444e-04 4.5126323465e-04 4.5125299987e-04 4.5126585327e-04 4.5126585327e-04 5.0929639072e+00 5.0926821336e+00 5.0927782371e+00 5.0931071781e+00 5.0928944057e+00 1.4066231182e-06 1.6777216000e+07 1.6777216000e+07 2.9802322388e-06 3.6060810089e-06 1.4066097265e-06 1.4066280301e-06 1.4066231182e-06 1.4066231182e-06 1.4659593594e-06 1.0421834679e+00 2.9727372371e-06 2.9727068522e-06 2.9727320907e-06 0 0 0 0 0 0 0 0
12 3.5140819408e-04 3.5141131403e-04 3.5140759359e-04 4.0960000000e+03 4.0960000000e+03 3.1271212054e-04 4.9585195341e-04 3.5140633995e-04 3.5140112316e-04 3.5140819408e-04 3.5140819408e-04 7.6284125049e+00 7.6284214811e+00 7.6283819939e+00 7.6282184572e+00 7.6282439202e+00 1.9306127842e-06 1.6777216000e+07 1.6777216000e+07 1.8924474716e-06 2.2351741791e-06 1.9305909973e-06 1.9305862224e-06 1.9306127842e-06 1.9306127842e-06 1.9718770347e-06 1.0213736545e+00 2.5463004610e-06 2.5462734357e-06 2.5462634312e-06 0 0 0 0 0 0 0 0
