matrix=data/matrices/bcsstk14.mtx n=1806 seed=16
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n abs_dot_d cond_xy_d rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
bnorm=5.9596637004e+10
0 1.8779628371e+10 1.8779610097e+10 1.8779610097e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.8782810770e+10 1.8675083806e+10 1.8779628371e+10 1.8779628371e+10 6.1362175885e+00 6.1362231784e+00 6.1362226624e+00 6.1362307549e+00 6.1360564911e+00 2.0339105423e+12 1.6777216000e+07 1.6777216000e+07 2.1990232556e+12 4.8103633715e+11 2.0339102843e+12 2.0338935071e+12 2.0339105423e+12 2.0339105423e+12 2.0413108009e+12 1.0036384386e+00 1.3635067106e+12 1.3635095101e+12 1.3634591785e+12 0 0 0 0 0 0 0 0
1 8.4935944242e+09 8.4935903926e+09 8.4935916871e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 8.4939782217e+09 8.4748691351e+09 8.4935944242e+09 8.4935944242e+09 4.5621413458e+00 4.5621411511e+00 4.5621410367e+00 4.5621375923e+00 4.5621544301e+00 2.9035950757e+11 1.6777216000e+07 1.6777216000e+07 4.1231686042e+11 8.5899345920e+10 2.9036013158e+11 2.9033916006e+11 2.9035950757e+11 2.9035950757e+11 2.9306164846e+11 1.0093061905e+00 1.8921001563e+11 1.8921082061e+11 1.8919718912e+11 0 0 0 0 0 0 0 0
2 3.2383146157e+09 3.2383120167e+09 3.2383126958e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.2383069237e+09 3.2292545482e+09 3.2383146157e+09 3.2383146157e+09 3.1199481080e+00 3.1199467436e+00 3.1199463082e+00 3.1199454194e+00 3.1199598255e+00 4.9850737008e+10 1.0000000000e+00 1.0000000000e+00 8.5899345920e+10 1.7179869184e+10 4.9851138048e+10 4.9847533568e+10 4.9850737008e+10 4.9850737008e+10 5.0949045849e+10 1.0220319479e+00 3.9730849992e+10 3.9731134464e+10 3.9729102848e+10 1 1 0 0 0 0 0 0
3 1.3947620668e+09 1.3947620765e+09 1.3947618302e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.3947306421e+09 1.3918012752e+09 1.3947620668e+09 1.3947620668e+09 2.4542080335e+00 2.4542079340e+00 2.4542074135e+00 2.4542053575e+00 2.4542122408e+00 1.4226093568e+10 1.0000000000e+00 1.6777216000e+07 2.7917287424e+10 6.9793218560e+09 1.4226194432e+10 1.4225997824e+10 1.4226093568e+10 1.4226093568e+10 1.4706686827e+10 1.0337825178e+00 9.7309847084e+09 9.7310474240e+09 9.7307852800e+09 1 0 0 0 0 0 0 0
4 8.6138480731e+08 8.6138460154e+08 8.6138480099e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 8.6137566637e+08 8.6051745769e+08 8.6138480731e+08 8.6138480731e+08 1.9759280990e+00 1.9759275882e+00 1.9759273273e+00 1.9759262052e+00 1.9759238537e+00 4.3203121168e+09 1.6777216000e+07 1.6777216000e+07 8.5899345920e+09 3.4896609280e+09 4.3203297280e+09 4.3201249280e+09 4.3203121168e+09 4.3203121168e+09 4.4821681537e+09 1.0374639685e+00 2.7989108157e+09 2.7989237760e+09 2.7988070400e+09 0 0 0 0 0 0 0 0
5 6.1899857325e+08 6.1899861835e+08 6.1899859059e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 6.1899742491e+08 6.1831495786e+08 6.1899857325e+08 6.1899857325e+08 1.4502761385e+00 1.4502755148e+00 1.4502753401e+00 1.4502764229e+00 1.4502693065e+00 1.3239986579e+09 1.6777216000e+07 1.6777216000e+07 2.8185722880e+09 1.6106127360e+09 1.3240064000e+09 1.3239623680e+09 1.3239986579e+09 1.3239986579e+09 1.4251060262e+09 1.0763651592e+00 1.0033646710e+09 1.0033694720e+09 1.0033382400e+09 0 0 0 0 0 0 0 0
6 4.3138980761e+08 4.3138967336e+08 4.3138963354e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 4.3138166857e+08 4.3089201839e+08 4.3138980761e+08 4.3138980761e+08 9.8931134747e-01 9.8931065890e-01 9.8931065997e-01 9.8931347742e-01 9.8930484346e-01 3.6137391508e+08 1.0000000000e+00 1.6777216000e+07 1.0737418240e+09 7.7175193600e+08 3.6137523200e+08 3.6136729600e+08 3.6137391508e+08 3.6137391508e+08 4.0349377291e+08 1.1165547818e+00 3.5571116489e+08 3.5571225600e+08 3.5570508800e+08 1 0 0 0 0 0 0 0
7 2.4438430463e+08 2.4438454365e+08 2.4438440305e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.4438345402e+08 2.4426644877e+08 2.4438430463e+08 2.4438430463e+08 7.6250302418e-01 7.6250274191e-01 7.6250286694e-01 7.6250653216e-01 7.6250161617e-01 2.2883296019e+08 1.6777216000e+07 1.6777216000e+07 5.2009369600e+08 4.3620761600e+08 2.2883328000e+08 2.2882886400e+08 2.2883296019e+08 2.2883296019e+08 2.5891890376e+08 1.1314755686e+00 1.9240496642e+08 1.9240531200e+08 1.9240115200e+08 0 0 0 0 0 0 0 0
8 1.5873683175e+08 1.5873683700e+08 1.5873673553e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 6.7108864000e+07 1.5873722932e+08 1.5863329608e+08 1.5873683175e+08 1.5873683175e+08 6.4454140690e-01 6.4454148254e-01 6.4454162053e-01 6.4454494366e-01 6.4454330142e-01 1.0433356160e+08 1.6777216000e+07 1.6777216000e+07 3.0198988800e+08 3.6909875200e+08 1.0433382400e+08 1.0433126400e+08 1.0433356160e+08 1.0433356160e+08 1.1751574160e+08 1.1263464968e+00 8.5420682735e+07 8.5420864000e+07 8.5418720000e+07 0 0 0 0 0 0 0 0
