matrix=data/matrices/nos2.mtx n=957 seed=10
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 9.3532825413e+10 9.3532839264e+10 9.3532842274e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 9.3557362420e+10 9.3162187000e+10 9.3532825413e+10 9.3532825413e+10 1.0068343972e+01 1.0068342838e+01 1.0068314696e+01 1.0067479726e+01 1.0100322261e+14 1.6777216000e+07 1.6777216000e+07 7.0368744178e+13 8.7960930222e+12 1.0100367216e+14 1.0100689338e+14 1.0100322261e+14 1.0100322261e+14 0 0 0 0 0 0 0 0
1 5.3986253940e+10 5.3986057142e+10 5.3986059749e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 5.3986901779e+10 5.3687091200e+10 5.3986253940e+10 5.3986253940e+10 9.8599766450e+00 9.8599777546e+00 9.8600025931e+00 9.8608311703e+00 2.8930852658e+11 1.6777216000e+07 1.6777216000e+07 8.2463372083e+11 2.7487790694e+11 2.8930631270e+11 2.8925388390e+11 2.8930852658e+11 2.8930852658e+11 0 0 0 0 0 0 0 0
2 4.6681075178e+10 4.6681024506e+10 4.6681016968e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 4.6679991899e+10 4.6531565476e+10 4.6681075178e+10 4.6681075178e+10 7.0169127567e+00 7.0169137680e+00 7.0169077063e+00 7.0168773146e+00 9.6233585153e+10 1.6777216000e+07 1.0485760000e+06 1.7179869184e+11 1.3743895347e+11 9.6233586688e+10 9.6216285184e+10 9.6233585153e+10 9.6233585153e+10 0 0 0 0 0 0 0 0
3 2.0515473896e+10 2.0515410637e+10 2.0515416639e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.0513808744e+10 2.0457529327e+10 2.0515473896e+10 2.0515473896e+10 6.3181818576e+00 6.3181842918e+00 6.3181730639e+00 6.3180418923e+00 3.7940349476e+10 1.6777216000e+07 1.6777216000e+07 4.1231686042e+11 1.0307921510e+11 3.7940166656e+10 3.7934858240e+10 3.7940349476e+10 3.7940349476e+10 0 0 0 0 0 0 0 0
4 2.2209583673e+10 2.2209487233e+10 2.2209491194e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.2207254977e+10 2.2116214602e+10 2.2209583673e+10 2.2209583673e+10 5.9866628603e+00 5.9866643386e+00 5.9866622435e+00 5.9867745834e+00 1.4276668595e+10 -1.6777216000e+07 1.6777216000e+07 8.5899345920e+10 1.3743895347e+11 1.4276591616e+10 1.4275051520e+10 1.4276668595e+10 1.4276668595e+10 1 0 0 0 0 0 0 0
5 1.9035208693e+10 1.9035140668e+10 1.9035142516e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.9034326435e+10 1.9019177744e+10 1.9035208693e+10 1.9035208693e+10 5.2203526622e+00 5.2203541770e+00 5.2203475668e+00 5.2203629447e+00 9.1898254095e+09 1.6777216000e+07 -1.6777216000e+07 8.5899345920e+10 8.5899345920e+10 9.1898019840e+09 9.1887042560e+09 9.1898254095e+09 9.1898254095e+09 0 1 0 0 0 0 0 0
6 1.0522210834e+10 1.0522167108e+10 1.0522166272e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.0522190515e+10 1.0520478337e+10 1.0522210834e+10 1.0522210834e+10 4.8638974699e+00 4.8638997316e+00 4.8638892861e+00 4.8638337144e+00 4.7961240508e+09 -1.6777216000e+07 1.6777216000e+07 4.2949672960e+10 6.8719476736e+10 4.7961047040e+09 4.7956213760e+09 4.7961240508e+09 4.7961240508e+09 1 0 0 0 0 0 0 0
7 5.2235052076e+09 5.2234661621e+09 5.2234718454e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 5.2224323206e+09 5.1990965526e+09 5.2235052076e+09 5.2235052076e+09 4.3069501154e+00 4.3069511623e+00 4.3069376106e+00 4.3069529079e+00 2.2193991442e+09 1.6777216000e+07 1.6777216000e+07 1.7179869184e+10 6.8719476736e+10 2.2193827840e+09 2.2190571520e+09 2.2193991442e+09 2.2193991442e+09 0 0 0 0 0 0 0 0
8 1.2800066097e+10 1.2800004985e+10 1.2799998800e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.2800740949e+10 1.2783842274e+10 1.2800066097e+10 1.2800066097e+10 4.1414795324e+00 4.1414804924e+00 4.1414627645e+00 4.1414813969e+00 2.3904598725e+09 1.6777216000e+07 -1.6777216000e+07 3.7580963840e+09 1.2025908429e+11 2.3904604160e+09 2.3901921280e+09 2.3904598725e+09 2.3904598725e+09 0 1 0 0 0 0 0 0
9 7.6665154862e+09 7.6664738096e+09 7.6664654913e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 7.6668756568e+09 7.6621749355e+09 7.6665154862e+09 7.6665154862e+09 3.7676681115e+00 3.7676692116e+00 3.7676391394e+00 3.7676408348e+00 1.1122882752e+09 1.6777216000e+07 0.0000000000e+00 5.9055800320e+09 8.5899345920e+10 1.1122933760e+09 1.1120599040e+09 1.1122882752e+09 1.1122882752e+09 0 1 0 0 0 0 0 0
