matrix=data/matrices/bcsstk03.mtx n=112 seed=44
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 4.4213053794e+10 4.4213043194e+10 4.4213046377e+10 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 4.4219394747e+10 4.4167218452e+10 4.4213053794e+10 4.4213053794e+10 5.4815883003e+00 5.4815882346e+00 5.4815883978e+00 5.4816929695e+00 4.0065250225e+12 1.6777216000e+07 1.6777216000e+07 4.3980465111e+12 3.2985348833e+12 4.0065166213e+12 4.0064998441e+12 4.0065250225e+12 4.0065250225e+12 0 0 0 0 0 0 0 0
1 6.8750692066e+09 6.8750758448e+09 6.8750745654e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 6.8753022980e+09 6.8726816376e+09 6.8750692066e+09 6.8750692066e+09 6.8104785785e+00 6.8104785883e+00 6.8104749316e+00 6.8104548053e+00 1.1397239668e+11 1.6777216000e+07 1.6777216000e+07 1.7179869184e+11 2.4051816858e+11 1.1397234688e+11 1.1397654118e+11 1.1397239668e+11 1.1397239668e+11 0 0 0 0 0 0 0 0
2 6.7149841269e+09 6.7149857355e+09 6.7149863904e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 6.7149117246e+09 6.7028284987e+09 6.7149841269e+09 6.7149841269e+09 5.2135101357e+00 5.2135103598e+00 5.2135054699e+00 5.2135154039e+00 1.0714670448e+10 1.6777216000e+07 1.6777216000e+07 6.8719476736e+10 6.8719476736e+10 1.0714677248e+10 1.0715545600e+10 1.0714670448e+10 1.0714670448e+10 0 0 0 0 0 0 0 0
3 2.7646588664e+09 2.7646565789e+09 2.7646563800e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 2.7647304512e+09 2.7653412388e+09 2.7646588664e+09 2.7646588664e+09 4.2780043332e+00 4.2780048618e+00 4.2779958718e+00 4.2779628481e+00 3.8774480528e+09 1.6777216000e+07 1.6777216000e+07 1.1811160064e+10 2.5769803776e+10 3.8774763520e+09 3.8777282560e+09 3.8774480528e+09 3.8774480528e+09 0 0 0 0 0 0 0 0
4 3.5303638069e+09 3.5303591873e+09 3.5303571629e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 3.5303982734e+09 3.5288033339e+09 3.5303638069e+09 3.5303638069e+09 3.8702333262e+00 3.8702337934e+00 3.8702187110e+00 3.8702152061e+00 1.7980184038e+09 1.6777216000e+07 1.6777216000e+07 1.6106127360e+10 1.0737418240e+10 1.7980426240e+09 1.7981614080e+09 1.7980184038e+09 1.7980184038e+09 0 0 0 0 0 0 0 0
5 1.5415932670e+09 1.5415930628e+09 1.5415941327e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.5416791830e+09 1.5396695275e+09 1.5415932670e+09 1.5415932670e+09 3.2254744263e+00 3.2254744188e+00 3.2254538812e+00 3.2254734262e+00 4.8391742695e+08 -1.6777216000e+07 -1.6777216000e+07 9.6636764160e+09 7.5161927680e+09 4.8392908800e+08 4.8395724800e+08 4.8391742695e+08 4.8391742695e+08 1 1 0 0 0 0 0 0
6 1.6204717996e+09 1.6204703987e+09 1.6204679391e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.6205435917e+09 1.6233202802e+09 1.6204717996e+09 1.6204717996e+09 3.0726600237e+00 3.0726597044e+00 3.0726546277e+00 3.0726329600e+00 4.3438849577e+08 -1.6777216000e+07 1.6777216000e+07 1.3958643712e+10 1.0737418240e+10 4.3440793600e+08 4.3443302400e+08 4.3438849577e+08 4.3438849577e+08 1 0 0 0 0 0 0 0
7 1.5087386703e+09 1.5087392697e+09 1.5087411372e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.5088305444e+09 1.5053753809e+09 1.5087386703e+09 1.5087386703e+09 3.0859721297e+00 3.0859720608e+00 3.0859700727e+00 3.0859784259e+00 2.5608231144e+08 -1.6777216000e+07 -1.6777216000e+07 4.7244640256e+10 8.5899345920e+09 2.5609811200e+08 2.5611360000e+08 2.5608231144e+08 2.5608231144e+08 1 1 0 0 0 0 0 0
8 1.1406268630e+09 1.1406250243e+09 1.1406232771e+09 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 2.6843545600e+08 1.1407273194e+09 1.1429459160e+09 1.1406268630e+09 1.1406268630e+09 3.1397201106e+00 3.1397201844e+00 3.1397223773e+00 3.1396888059e+00 2.6895621216e+08 -1.6777216000e+07 -1.6777216000e+07 3.2212254720e+10 8.5899345920e+09 2.6897587200e+08 2.6899379200e+08 2.6895621216e+08 2.6895621216e+08 1 1 0 0 0 0 0 0
9 1.2018878856e+09 1.2018860149e+09 1.2018855003e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 1.2020029349e+09 1.2017687404e+09 1.2018878856e+09 1.2018878856e+09 3.1172084999e+00 3.1172087006e+00 3.1172094013e+00 3.1171868857e+00 2.1333705715e+08 1.6777216000e+07 0.0000000000e+00 1.0737418240e+10 1.0737418240e+10 2.1335168000e+08 2.1336697600e+08 2.1333705715e+08 2.1333705715e+08 0 1 0 0 0 0 0 0
10 9.0948135945e+08 9.0948026435e+08 9.0948030213e+08 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 9.0957425497e+08 9.0744423761e+08 9.0948135945e+08 9.0948135945e+08 2.9064131602e+00 2.9064140675e+00 2.9063981584e+00 2.9063865448e+00 7.5522270587e+07 1.6777216000e+07 nan 1.0307921510e+11 8.5899345920e+09 7.5528160000e+07 7.5534112000e+07 7.5522270587e+07 7.5522270587e+07 0 0 0 0 0 0 0 0
11 1.0702930273e+09 1.0702879490e+09 1.0702847387e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 1.0703613988e+09 1.0730534754e+09 1.0702930273e+09 1.0702930273e+09 2.5329937641e+00 2.5329962099e+00 2.5329541340e+00 2.5329068593e+00 6.6426207748e+07 1.6777216000e+07 nan -2.1474836480e+10 1.9327352832e+10 6.6434144000e+07 6.6439824000e+07 6.6426207748e+07 6.6426207748e+07 0 0 1 0 0 0 0 0
12 6.6532782213e+08 6.6532932181e+08 6.6533296265e+08 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 6.6540223802e+08 6.5950679129e+08 6.6532782213e+08 6.6532782213e+08 2.3996586386e+00 2.3996610028e+00 2.3996312947e+00 2.3996650266e+00 6.4237609657e+07 1.6777216000e+07 nan 7.0368744178e+13 1.3743895347e+11 6.4247232000e+07 6.4252288000e+07 6.4237609657e+07 6.4237609657e+07 0 0 0 0 0 0 0 0
13 8.2824338637e+08 8.2823678068e+08 8.2823371076e+08 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 8.2830867177e+08 8.2932750201e+08 8.2824338637e+08 8.2824338637e+08 2.3882008859e+00 2.3882027412e+00 2.3881880474e+00 2.3881398545e+00 1.5094534363e+08 1.6777216000e+07 nan 1.4073748836e+14 6.4424509440e+10 1.5096800000e+08 1.5097798400e+08 1.5094534363e+08 1.5094534363e+08 0 0 0 0 0 0 0 0
14 6.2474979950e+08 6.2474574746e+08 6.2474541747e+08 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 6.2479645352e+08 6.2423306616e+08 6.2474979950e+08 6.2474979950e+08 2.3741719578e+00 2.3741736766e+00 2.3741582095e+00 2.3741463977e+00 5.5612754029e+07 1.6777216000e+07 nan 3.5184372089e+13 1.0307921510e+11 5.5620512000e+07 5.5623872000e+07 5.5612754029e+07 5.5612754029e+07 0 0 0 0 0 0 0 0
15 1.0799075500e+09 1.0799050000e+09 1.0799037909e+09 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 1.0800149552e+09 1.0791023949e+09 1.0799075500e+09 1.0799075500e+09 2.3391580821e+00 2.3391595325e+00 2.3391405868e+00 2.3391404376e+00 4.0851870703e+07 1.6777216000e+07 nan 8.7960930222e+12 4.3980465111e+12 4.0858416000e+07 4.0861424000e+07 4.0851870703e+07 4.0851870703e+07 0 0 0 0 0 0 0 0
16 4.7067941960e+08 4.7068082950e+08 4.7067949725e+08 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 4.7062259009e+08 4.7464253337e+08 4.7067941960e+08 4.7067941960e+08 2.3233890654e+00 2.3233900918e+00 2.3233748293e+00 2.3233056981e+00 6.4769177183e+07 1.6777216000e+07 nan 9.6207267430e+11 6.5970697667e+12 6.4778592000e+07 6.4783984000e+07 6.4769177183e+07 6.4769177183e+07 0 0 0 0 0 0 0 0
17 4.6222033554e+08 4.6221993967e+08 4.6222148214e+08 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 4.6236375811e+08 4.5696744780e+08 4.6222033554e+08 4.6222033554e+08 2.3436114375e+00 2.3436119276e+00 2.3435989404e+00 2.3436251653e+00 2.3953372067e+07 1.6777216000e+07 nan 1.1258999068e+15 -8.7960930222e+12 2.3956344000e+07 2.3959888000e+07 2.3953372067e+07 2.3953372067e+07 0 0 0 1 0 0 0 0
18 3.1918895747e+08 3.1918479750e+08 3.1917700635e+08 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 3.1897399265e+08 3.3621212267e+08 3.1918895747e+08 3.1918895747e+08 2.3671745261e+00 2.3671741987e+00 2.3671688751e+00 2.3670167450e+00 1.0443041905e+07 -1.6777216000e+07 nan 4.5035996274e+15 -8.7960930222e+12 1.0444558000e+07 1.0449362000e+07 1.0443041905e+07 1.0443041905e+07 1 0 0 1 0 0 0 0
19 5.6965491979e+08 5.6966846728e+08 5.6968870271e+08 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 5.7002427689e+08 5.4004005430e+08 5.6965491979e+08 5.6965491979e+08 2.3388280324e+00 2.3388265653e+00 2.3388105956e+00 2.3391294065e+00 5.7647398179e+06 -1.6777216000e+07 nan 1.1258999068e+15 -1.7592186044e+13 5.7659450000e+06 5.7779280000e+06 5.7647398179e+06 5.7647398179e+06 1 0 0 1 0 0 0 0
20 3.3571547058e+08 3.3567128478e+08 3.3562225015e+08 4.0960000000e+03 nan 2.6843545600e+08 2.6843545600e+08 3.3530830740e+08 4.1406937244e+08 3.3571547058e+08 3.3571547059e+08 2.3063584669e+00 2.3063562115e+00 2.3063412787e+00 2.3058496821e+00 1.2515378367e+07 1.6777216000e+07 nan 1.1258999068e+15 8.7960930222e+12 1.2518706000e+07 1.2600772000e+07 1.2515378367e+07 1.2515378367e+07 0 0 0 0 0 0 0 0
