matrix=data/matrices/bcsstk36.mtx n=23052 seed=26
iter res_d res_f res_ffma res_p32q res_p32n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p32q pAp_p32n rz_d rz_p32q rz_p32n guard_p32q guard_p32n
0 3.9247362608e+08 3.9246927284e+08 3.9246925095e+08 3.9247570753e+08 3.8959643375e+08 7.3291550537e+00 7.3291317359e+00 7.3291313265e+00 7.3291593001e+00 7.3274304143e+00 2.4911548920e+11 2.4911544320e+11 2.4909289882e+11 9.7980213144e+10 9.7980252160e+10 9.7948008448e+10 0 0
1 2.2280642869e+08 2.2280452145e+08 2.2280450217e+08 2.2280697923e+08 2.2188224950e+08 6.4118790829e+00 6.4118736348e+00 6.4118740645e+00 6.4118791000e+00 6.4115495767e+00 7.3651256569e+10 7.3651453952e+10 7.3601122304e+10 2.4535088396e+10 2.4535105536e+10 2.4519507968e+10 0 0
2 1.4190374521e+08 1.4190183062e+08 1.4190180035e+08 1.4190298077e+08 1.4123115959e+08 6.2114869199e+00 6.2114796848e+00 6.2114804451e+00 6.2114836880e+00 6.2113986753e+00 2.7733540177e+10 2.7733458944e+10 2.7723399168e+10 9.2239343260e+09 9.2239134720e+09 9.2189818880e+09 0 0
3 8.8812965288e+07 8.8811871534e+07 8.8811886646e+07 8.8812282595e+07 8.8567436626e+07 7.2771475388e+00 7.2771288936e+00 7.2771296412e+00 7.2771449068e+00 7.2765090057e+00 1.0644583053e+10 1.0644570112e+10 1.0636771328e+10 3.5824563001e+09 3.5824496640e+09 3.5796418560e+09 0 0
4 6.3027574449e+07 6.3026650016e+07 6.3026620202e+07 6.3027508214e+07 6.2886701032e+07 8.2741424456e+00 8.2741225250e+00 8.2741215311e+00 8.2741420916e+00 8.2734597648e+00 4.0777194461e+09 4.0777072640e+09 4.0743751680e+09 1.6144187428e+09 1.6144138240e+09 1.6130222080e+09 0 0
5 4.2396404977e+07 4.2395845419e+07 4.2395829590e+07 4.2396473830e+07 4.2282453888e+07 8.0919128348e+00 8.0919100078e+00 8.0919078404e+00 8.0919150670e+00 8.0918305719e+00 1.5355449173e+09 1.5355402240e+09 1.5341527040e+09 7.2492118242e+08 7.2491929600e+08 7.2420864000e+08 0 0
6 3.3821731307e+07 3.3821223371e+07 3.3821189639e+07 3.3821655929e+07 3.3748431185e+07 7.8451074026e+00 7.8451131104e+00 7.8451102080e+00 7.8451123114e+00 7.8451797835e+00 1.2739566480e+09 1.2739543040e+09 1.2725995520e+09 4.6195191545e+08 4.6195097600e+08 4.6143001600e+08 0 0
7 2.9914170181e+07 2.9913316552e+07 2.9913328891e+07 2.9914007525e+07 2.9839254015e+07 7.5859968849e+00 7.5860056213e+00 7.5860011724e+00 7.5860054182e+00 7.5860308065e+00 8.4716814022e+08 8.4716646400e+08 8.4612403200e+08 3.2786695936e+08 3.2786611200e+08 3.2745446400e+08 0 0
8 2.5451112423e+07 2.5450475482e+07 2.5450487348e+07 2.5451266522e+07 2.5390104593e+07 7.2902180781e+00 7.2902260020e+00 7.2902206457e+00 7.2902287795e+00 7.2902654752e+00 5.0447163639e+08 5.0447001600e+08 5.0385280000e+08 2.0751342692e+08 2.0751270400e+08 2.0724710400e+08 0 0
9 2.0966519020e+07 2.0965886443e+07 2.0965899247e+07 2.0966399375e+07 2.0926825975e+07 6.9437443063e+00 6.9437542485e+00 6.9437487832e+00 6.9437550801e+00 6.9439480530e+00 3.2104753577e+08 3.2104627200e+08 3.2060851200e+08 1.3953517799e+08 1.3953459200e+08 1.3933900800e+08 0 0
