matrix=data/matrices/nasa4704.mtx n=4704 seed=10
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 2.2929110749e+08 2.2929060006e+08 2.2929060942e+08 4.0960000000e+03 4.0960000000e+03 2.6843545600e+08 6.7108864000e+07 2.2929074991e+08 2.2896443919e+08 2.2929110749e+08 2.2929110749e+08 1.8561182596e+00 1.8561185988e+00 1.8561174585e+00 1.8560014224e+00 6.6434841901e+10 1.6777216000e+07 1.6777216000e+07 6.4424509440e+10 2.7917287424e+10 6.6434826240e+10 6.6430500864e+10 6.6434841901e+10 6.6434841901e+10 1.9401489116e+10 1.9401474048e+10 1.9398688768e+10 0 0 0 0 0 0 0 0
1 1.0411324890e+08 1.0411357927e+08 1.0411358958e+08 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 6.7108864000e+07 1.0411308939e+08 1.0389372286e+08 1.0411324890e+08 1.0411324890e+08 1.8229247545e+00 1.8229251153e+00 1.8229250767e+00 1.8229591353e+00 8.4658880711e+09 1.6777216000e+07 1.6777216000e+07 8.5899345920e+09 3.7580963840e+09 8.4658831360e+09 8.4641054720e+09 8.4658880711e+09 8.4658880711e+09 3.1332231665e+09 3.1332208640e+09 3.1326289920e+09 0 0 0 0 0 0 0 0
2 5.8954158682e+07 5.8953973737e+07 5.8953966907e+07 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 1.6777216000e+07 5.8953848521e+07 5.8899620916e+07 5.8954158682e+07 5.8954158682e+07 1.6347014414e+00 1.6347019630e+00 1.6347014089e+00 1.6347195826e+00 2.2132896353e+09 1.0000000000e+00 3.2768000000e+04 2.2817013760e+09 7.3819750400e+08 2.2132879360e+09 2.2129807360e+09 2.2132896353e+09 2.2132896353e+09 8.6481529826e+08 8.6481459200e+08 8.6470502400e+08 1 0 0 0 0 0 0 0
3 2.9988492496e+07 2.9988392312e+07 2.9988397906e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 2.9988288252e+07 2.9959630261e+07 2.9988492496e+07 2.9988492496e+07 1.5258009790e+00 1.5258003892e+00 1.5258005450e+00 1.5258006679e+00 6.2384413726e+08 1.6777216000e+07 1.6777216000e+07 6.0397977600e+08 2.6843545600e+08 6.2384332800e+08 6.2378188800e+08 6.2384413726e+08 6.2384413726e+08 3.1374173189e+08 3.1374131200e+08 3.1369932800e+08 0 0 0 0 0 0 0 0
4 2.3168280896e+07 2.3168206361e+07 2.3168220843e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 1.6777216000e+07 2.3168250534e+07 2.3147849576e+07 2.3168280896e+07 2.3168280896e+07 1.3837513882e+00 1.3837507851e+00 1.3837509140e+00 1.3837617730e+00 1.5782086846e+08 1.6777216000e+07 1.6777216000e+07 1.5099494400e+08 1.3841203200e+08 1.5782067200e+08 1.5779552000e+08 1.5782086846e+08 1.5782086846e+08 1.0153650238e+08 1.0153635200e+08 1.0151964800e+08 0 0 0 0 0 0 0 0
5 1.8447265048e+07 1.8447239012e+07 1.8447241741e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 8.3886080000e+06 1.8447190810e+07 1.8432283987e+07 1.8447265048e+07 1.8447265048e+07 1.2696803587e+00 1.2696800556e+00 1.2696796054e+00 1.2696821282e+00 1.2740050750e+08 1.6777216000e+07 1.0000000000e+00 1.5099494400e+08 1.1534336000e+08 1.2740028800e+08 1.2737926400e+08 1.2740050750e+08 1.2740050750e+08 6.3221750596e+07 6.3221648000e+07 6.3210320000e+07 0 1 0 0 0 0 0 0
6 1.5127006684e+07 1.5126932271e+07 1.5126935598e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 1.5126966653e+07 1.5118162327e+07 1.5127006684e+07 1.5127006684e+07 1.1748032828e+00 1.1748031523e+00 1.1748022773e+00 1.1748003929e+00 7.3754463411e+07 1.6777216000e+07 1.6777216000e+07 9.8566144000e+07 6.6060288000e+07 7.3754336000e+07 7.3740032000e+07 7.3754463411e+07 7.3754463411e+07 3.9779654878e+07 3.9779600000e+07 3.9771328000e+07 0 0 0 0 0 0 0 0
7 1.0585762833e+07 1.0585723907e+07 1.0585717567e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 8.3886080000e+06 1.0585737775e+07 1.0578330583e+07 1.0585762833e+07 1.0585762833e+07 1.1017283240e+00 1.1017284721e+00 1.1017273701e+00 1.1017421473e+00 4.3769430361e+07 1.6777216000e+07 1.6777216000e+07 7.5497472000e+07 4.6137344000e+07 4.3769376000e+07 4.3759040000e+07 4.3769430361e+07 4.3769430361e+07 2.3729807144e+07 2.3729776000e+07 2.3724136000e+07 0 0 0 0 0 0 0 0
8 1.0116441157e+07 1.0116450439e+07 1.0116442147e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 8.3886080000e+06 1.0116453342e+07 1.0112206924e+07 1.0116441157e+07 1.0116441157e+07 1.0452536692e+00 1.0452536596e+00 1.0452525668e+00 1.0452547307e+00 2.2284315508e+07 1.6777216000e+07 1.6777216000e+07 5.1380224000e+07 4.1943040000e+07 2.2284296000e+07 2.2279128000e+07 2.2284315508e+07 2.2284315508e+07 1.3731586138e+07 1.3731568000e+07 1.3728418000e+07 0 0 0 0 0 0 0 0
9 6.7468815244e+06 6.7468477850e+06 6.7468431225e+06 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 8.3886080000e+06 6.7468667459e+06 6.7424887902e+06 6.7468815244e+06 6.7468815244e+06 1.0040161900e+00 1.0040161663e+00 1.0040150132e+00 1.0040190426e+00 2.0091800946e+07 1.6777216000e+07 1.6777216000e+07 6.6060288000e+07 5.0331648000e+07 2.0091776000e+07 2.0087232000e+07 2.0091800946e+07 2.0091800946e+07 1.0391963908e+07 1.0391948000e+07 1.0389566000e+07 0 0 0 0 0 0 0 0
