matrix=data/matrices/sts4098.mtx n=4098 seed=19
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 1.1134267617e+08 1.1134376425e+08 1.1134376425e+08 4.0960000000e+03 4.0960000000e+03 6.7108864000e+07 6.7108864000e+07 1.1134425607e+08 1.1133438074e+08 1.1134267617e+08 1.1134267617e+08 1.4889555994e+00 1.4889491256e+00 1.4889491256e+00 1.4889553678e+00 1.4888432390e+00 1.5559546663e+10 1.6777216000e+07 1.0000000000e+00 1.5032385536e+10 1.1811160064e+10 1.5559540736e+10 1.5557804032e+10 1.5559546663e+10 1.5559546663e+10 4.6786424376e+09 4.6786396160e+09 4.6776074240e+09 0 1 0 0 0 0 0 0
1 3.3734032104e+07 3.3734033339e+07 3.3734035328e+07 4.0960000000e+03 4.0960000000e+03 3.3554432000e+07 3.3554432000e+07 3.3734174582e+07 3.3726534638e+07 3.3734032104e+07 3.3734032104e+07 1.5723262424e+00 1.5723261764e+00 1.5723261542e+00 1.5723266550e+00 1.5723263226e+00 1.3711010158e+09 1.6777216000e+07 1.6777216000e+07 1.6777216000e+09 1.2750684160e+09 1.3711042560e+09 1.3707386880e+09 1.3711010158e+09 1.3711010158e+09 4.7211180409e+08 4.7211289600e+08 4.7197644800e+08 0 0 0 0 0 0 0 0
2 1.9204734691e+07 1.9204274983e+07 1.9204266247e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 1.9205067339e+07 1.9195448531e+07 1.9204734691e+07 1.9204734691e+07 1.3352474840e+00 1.3352493170e+00 1.3352493120e+00 1.3352469103e+00 1.3352790598e+00 1.6083503260e+08 1.6777216000e+07 1.6777216000e+07 1.8874368000e+08 1.4680064000e+08 1.6083539200e+08 1.6078899200e+08 1.6083503260e+08 1.6083503260e+08 8.2050347329e+07 8.2050720000e+07 8.2025536000e+07 0 0 0 0 0 0 0 0
3 1.9757266886e+07 1.9757336120e+07 1.9757320835e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 1.9757555203e+07 1.9751684975e+07 1.9757266886e+07 1.9757266886e+07 1.1014384144e+00 1.1014395320e+00 1.1014395317e+00 1.1014383694e+00 1.1014705661e+00 5.6457674812e+07 1.0000000000e+00 1.6777216000e+07 6.7108864000e+07 4.2991616000e+07 5.6458128000e+07 5.6440464000e+07 5.6457674812e+07 5.6457674812e+07 3.3344979193e+07 3.3345328000e+07 3.3334400000e+07 1 0 0 0 0 0 0 0
4 1.3978678071e+07 1.3978822295e+07 1.3978813894e+07 4.0960000000e+03 4.0960000000e+03 1.6777216000e+07 1.6777216000e+07 1.3978845699e+07 1.3977923925e+07 1.3978678071e+07 1.3978678071e+07 9.9904654408e-01 9.9904646783e-01 9.9904617937e-01 9.9904910763e-01 9.9905711463e-01 3.6767911889e+07 1.6777216000e+07 1.6777216000e+07 4.7185920000e+07 2.2544384000e+07 3.6768368000e+07 3.6755376000e+07 3.6767911889e+07 3.6767911889e+07 2.1520711040e+07 2.1521048000e+07 2.1513264000e+07 0 0 0 0 0 0 0 0
5 7.9337294830e+06 7.9336704875e+06 7.9336720735e+06 4.0960000000e+03 4.0960000000e+03 1.1863283203e+07 8.3886080000e+06 7.9337817721e+06 7.9325636369e+06 7.9337294830e+06 7.9337294830e+06 9.3306500688e-01 9.3306529611e-01 9.3306504746e-01 9.3306891458e-01 9.3308936688e-01 2.2628428153e+07 1.6777216000e+07 1.6777216000e+07 3.0932992000e+07 2.4641536000e+07 2.2628896000e+07 2.2620648000e+07 2.2628428153e+07 2.2628428153e+07 1.2977285717e+07 1.2977590000e+07 1.2972972000e+07 0 0 0 0 0 0 0 0
6 8.1327944597e+06 8.1327021218e+06 8.1327003168e+06 4.0960000000e+03 4.0960000000e+03 1.1863283203e+07 8.3886080000e+06 8.1330017573e+06 8.1304929368e+06 8.1327944597e+06 8.1327944597e+06 8.1679253368e-01 8.1679074312e-01 8.1679057497e-01 8.1679504394e-01 8.1679463952e-01 1.0126844693e+07 1.6777216000e+07 1.6777216000e+07 1.4680064000e+07 1.6252928000e+07 1.0127102000e+07 1.0123758000e+07 1.0126844693e+07 1.0126844693e+07 7.0767663129e+06 7.0769890000e+06 7.0746080000e+06 0 0 0 0 0 0 0 0
7 5.7935339691e+06 5.7935435055e+06 5.7935360848e+06 4.0960000000e+03 4.0960000000e+03 8.3886080000e+06 4.1943040000e+06 5.7937539935e+06 5.7929894672e+06 5.7935339691e+06 5.7935339691e+06 8.6117978206e-01 8.6117630577e-01 8.6117601389e-01 8.6118552094e-01 8.6120348170e-01 7.1167135199e+06 1.6777216000e+07 1.6777216000e+07 1.2058624000e+07 1.1796480000e+07 7.1169980000e+06 7.1145670000e+06 7.1167135199e+06 7.1167135199e+06 5.1933281946e+06 5.1935520000e+06 5.1917120000e+06 0 0 0 0 0 0 0 0
8 6.0463138850e+06 6.0462437042e+06 6.0462364203e+06 4.0960000000e+03 4.0960000000e+03 8.3886080000e+06 8.3886080000e+06 6.0464729690e+06 6.0453629827e+06 6.0463138850e+06 6.0463138850e+06 7.1061482485e-01 7.1061340387e-01 7.1061327599e-01 7.1061361145e-01 7.1063717283e-01 6.4741623223e+06 1.6777216000e+07 1.6777216000e+07 1.2713984000e+07 1.5990784000e+07 6.4744690000e+06 6.4720980000e+06 6.4741623223e+06 6.4741623223e+06 4.5342709022e+06 4.5344880000e+06 4.5327820000e+06 0 0 0 0 0 0 0 0
9 4.1039769383e+06 4.1038786308e+06 4.1038767144e+06 4.0960000000e+03 4.0960000000e+03 8.3886080000e+06 5.9316416015e+06 4.1040530116e+06 4.1030636054e+06 4.1039769383e+06 4.1039769383e+06 6.9547401928e-01 6.9547011927e-01 6.9547011240e-01 6.9547444079e-01 6.9547772623e-01 4.3891941695e+06 1.0000000000e+00 1.0000000000e+00 9.3061120000e+06 8.3230720000e+06 4.3894040000e+06 4.3877100000e+06 4.3891941695e+06 4.3891941695e+06 3.2064125640e+06 3.2065650000e+06 3.2052975000e+06 1 1 0 0 0 0 0 0
10 3.3092593631e+06 3.3091877801e+06 3.3091828687e+06 4.0960000000e+03 4.0960000000e+03 5.9316416015e+06 4.1943040000e+06 3.3093449430e+06 3.3082598603e+06 3.3092593631e+06 3.3092593631e+06 6.2604801386e-01 6.2604568103e-01 6.2604580198e-01 6.2604751813e-01 6.2606417938e-01 3.5793794789e+06 1.6777216000e+07 1.0000000000e+00 8.6507520000e+06 6.8157440000e+06 3.5795495000e+06 3.5780815000e+06 3.5793794789e+06 3.5793794789e+06 2.3974768553e+06 2.3975895000e+06 2.3965865000e+06 0 1 0 0 0 0 0 0
11 4.0662828722e+06 4.0662146472e+06 4.0662123263e+06 4.0960000000e+03 4.0960000000e+03 8.3886080000e+06 5.9316416015e+06 4.0663688537e+06 4.0656426397e+06 4.0662828722e+06 4.0662828722e+06 6.1222163939e-01 6.1221610576e-01 6.1221598844e-01 6.1222342549e-01 6.1221237869e-01 2.3476632994e+06 1.6777216000e+07 1.6777216000e+07 7.2744960000e+06 4.3253760000e+06 2.3477745000e+06 2.3467780000e+06 2.3476632994e+06 2.3476632994e+06 1.6883114547e+06 1.6883900000e+06 1.6876600000e+06 0 0 0 0 0 0 0 0
12 2.9967182187e+06 2.9966341319e+06 2.9966353566e+06 4.0960000000e+03 4.0960000000e+03 8.3886080000e+06 5.9316416015e+06 2.9967384056e+06 2.9961225082e+06 2.9967182187e+06 2.9967182187e+06 6.2675313498e-01 6.2674587898e-01 6.2674570796e-01 6.2675654396e-01 6.2677181614e-01 1.9365506582e+06 1.0000000000e+00 1.6777216000e+07 7.0778880000e+06 3.1784960000e+06 1.9366397500e+06 1.9357995000e+06 1.9365506582e+06 1.9365506582e+06 1.3610545264e+06 1.3611152500e+06 1.3605197500e+06 1 0 0 0 0 0 0 0
13 1.4632865969e+06 1.4632603942e+06 1.4632612900e+06 4.0960000000e+03 4.0960000000e+03 5.9316416015e+06 4.1943040000e+06 1.4631695173e+06 1.4626849837e+06 1.4632865969e+06 1.4632865969e+06 5.1775804547e-01 5.1775372643e-01 5.1775357378e-01 5.1775673957e-01 5.1775391840e-01 1.1296828519e+06 1.6777216000e+07 1.0000000000e+00 7.2744960000e+06 2.2282240000e+06 1.1297300000e+06 1.1292442500e+06 1.1296828519e+06 1.1296828519e+06 8.4052398667e+05 8.4055987500e+05 8.4019143750e+05 0 1 0 0 0 0 0 0
14 1.5168801215e+06 1.5168409378e+06 1.5168403330e+06 4.0960000000e+03 4.0960000000e+03 5.9316416015e+06 3.6323738152e+06 1.5168423204e+06 1.5163998311e+06 1.5168801215e+06 1.5168801215e+06 5.0883864504e-01 5.0883387141e-01 5.0883369974e-01 5.0883775395e-01 5.0884128667e-01 7.9520305834e+05 1.6777216000e+07 1.6777216000e+07 6.6846720000e+06 1.9005440000e+06 7.9523737500e+05 7.9492018750e+05 7.9520305834e+05 7.9520305834e+05 5.8615794709e+05 5.8618456250e+05 5.8593156250e+05 0 0 0 0 0 0 0 0
15 2.0214666108e+06 2.0213711368e+06 2.0213680243e+06 4.0960000000e+03 4.0960000000e+03 5.9316416015e+06 2.9658208008e+06 2.0215368041e+06 2.0206942559e+06 2.0214666108e+06 2.0214666108e+06 4.8091369608e-01 4.8090906871e-01 4.8090896971e-01 4.8091221387e-01 4.8090949649e-01 7.3609668083e+05 1.0000000000e+00 1.6777216000e+07 5.1773440000e+06 1.5073280000e+06 7.3613143750e+05 7.3585393750e+05 7.3609668083e+05 7.3609668083e+05 4.9749750976e+05 4.9752231250e+05 4.9731181250e+05 1 0 0 0 0 0 0 0
16 1.2493415046e+06 1.2492980982e+06 1.2492952130e+06 4.0960000000e+03 4.0960000000e+03 5.9316416015e+06 2.9658208008e+06 1.2494713558e+06 1.2494310728e+06 1.2493415046e+06 1.2493415046e+06 4.9016607021e-01 4.9016041753e-01 4.9016016197e-01 4.9016633532e-01 4.9016352253e-01 4.9085522721e+05 1.0000000000e+00 1.0000000000e+00 4.6530560000e+06 1.6875520000e+06 4.9088178125e+05 4.9071087500e+05 4.9085522721e+05 4.9085522721e+05 4.0120131797e+05 4.0122343750e+05 4.0105206250e+05 1 1 0 0 0 0 0 0
17 1.4559944947e+06 1.4559601141e+06 1.4559587637e+06 4.0960000000e+03 4.0960000000e+03 5.9316416015e+06 2.5684761565e+06 1.4560977550e+06 1.4562878562e+06 1.4559944947e+06 1.4559944947e+06 4.6839598120e-01 4.6839085875e-01 4.6839066440e-01 4.6839474703e-01 4.6839188208e-01 3.8981701585e+05 1.6777216000e+07 1.6777216000e+07 7.4055680000e+06 2.1299200000e+06 3.8983918750e+05 3.8990393750e+05 3.8981701585e+05 3.8981701585e+05 3.2014645095e+05 3.2016506250e+05 3.2007306250e+05 0 0 0 0 0 0 0 0
18 1.3552853568e+06 1.3552238150e+06 1.3552242503e+06 4.0960000000e+03 4.0960000000e+03 4.1943040000e+06 3.6323738152e+06 1.3553118722e+06 1.3536737780e+06 1.3552853568e+06 1.3552853568e+06 4.6273449330e-01 4.6272925778e-01 4.6272905245e-01 4.6273254911e-01 4.6271990564e-01 3.9856151751e+05 1.0000000000e+00 1.6777216000e+07 6.4225280000e+06 1.4090240000e+06 3.9858521875e+05 3.9917596875e+05 3.9856151751e+05 3.9856151751e+05 2.8196717743e+05 2.8198418750e+05 2.8204484375e+05 1 0 0 0 0 0 0 0
