matrix=data/matrices/bodyy4.mtx n=17546 seed=19
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 2.1284358289e+03 2.1284503753e+03 2.1284506102e+03 4.0960000000e+03 1.0240000000e+03 2.1418496679e+03 1.4481546879e+03 2.1284358106e+03 2.1284287632e+03 2.1284358289e+03 2.1284358289e+03 5.2124570974e-01 5.2124471995e-01 5.2124469687e-01 5.2124570891e-01 5.2124558657e-01 1.2981477630e+06 1.0485760000e+06 1.6384000000e+04 1.2943360000e+06 5.5705600000e+05 1.2981477500e+06 1.2981480000e+06 1.2981477630e+06 1.2981477630e+06 7.8981900531e+05 7.8981900000e+05 7.8981956250e+05 0 0 0 0 0 0 0 0
1 9.1462872418e+02 9.1463377234e+02 9.1463384067e+02 4.0960000000e+03 1.0240000000e+03 9.2302112652e+02 6.9374346844e+02 9.1462871565e+02 9.1463032150e+02 9.1462872418e+02 9.1462872418e+02 3.3816058154e-01 3.3816033690e-01 3.3816033978e-01 3.3816058256e-01 3.3816039368e-01 4.4336567411e+04 2.6214400000e+05 4.0960000000e+03 4.4672000000e+04 2.0224000000e+04 4.4336568359e+04 4.4336613281e+04 4.4336567411e+04 4.4336567411e+04 4.2026761451e+04 4.2026761719e+04 4.2026873047e+04 0 0 0 0 0 0 0 0
2 4.9094768798e+02 4.9095003565e+02 4.9095035391e+02 4.0960000000e+03 1.0240000000e+03 4.9574186831e+02 3.9839678714e+02 4.9094768051e+02 4.9094788738e+02 4.9094768798e+02 4.9094768798e+02 2.5504466580e-01 2.5504460939e-01 2.5504458852e-01 2.5504466591e-01 2.5504463108e-01 6.7000236178e+03 6.5536000000e+04 8.1920000000e+03 6.7680000000e+03 4.5440000000e+03 6.7000234375e+03 6.7000588379e+03 6.7000236178e+03 6.7000236178e+03 7.6945797310e+03 7.6945795898e+03 7.6946113281e+03 0 0 0 0 0 0 0 0
3 3.0370561692e+02 3.0370739156e+02 3.0370755876e+02 4.0960000000e+03 1.0240000000e+03 3.0693321749e+02 2.7058455240e+02 3.0370561661e+02 3.0370631116e+02 3.0370561692e+02 3.0370561692e+02 2.0887832432e-01 2.0887830544e-01 2.0887829304e-01 2.0887832453e-01 2.0887830420e-01 1.7719928551e+03 1.6384000000e+04 4.0960000000e+03 1.7920000000e+03 2.0600000000e+03 1.7719928284e+03 1.7719949341e+03 1.7719928551e+03 1.7719928551e+03 2.3048994643e+03 2.3048994141e+03 2.3049027710e+03 0 0 0 0 0 0 0 0
4 2.0547621498e+02 2.0547737862e+02 2.0547736912e+02 4.0960000000e+03 1.0240000000e+03 2.0800000000e+02 1.9133217189e+02 2.0547620947e+02 2.0547677979e+02 2.0547621498e+02 2.0547621498e+02 1.7788370182e-01 1.7788370350e-01 1.7788370557e-01 1.7788370179e-01 1.7788369438e-01 6.6369790755e+02 3.2768000000e+04 4.0960000000e+03 6.7200000000e+02 9.7500000000e+02 6.6369789124e+02 6.6369963074e+02 6.6369790755e+02 6.6369790755e+02 9.2510619446e+02 9.2510617065e+02 9.2510835266e+02 0 0 0 0 0 0 0 0
5 1.4872771289e+02 1.4872967298e+02 1.4872971894e+02 4.0960000000e+03 1.0240000000e+03 1.5073154945e+02 1.3856406461e+02 1.4872770973e+02 1.4872808728e+02 1.4872771289e+02 1.4872771289e+02 1.5529229437e-01 1.5529222522e-01 1.5529222808e-01 1.5529229382e-01 1.5529228877e-01 2.8854654533e+02 6.5536000000e+04 8.1920000000e+03 2.9200000000e+02 5.1700000000e+02 2.8854653168e+02 2.8854713440e+02 2.8854654533e+02 2.8854654533e+02 4.3487673483e+02 4.3487671661e+02 4.3487767029e+02 0 0 0 0 0 0 0 0
6 1.1166706042e+02 1.1166836276e+02 1.1166841961e+02 4.0960000000e+03 1.0240000000e+03 1.1341957503e+02 1.1852425912e+02 1.1166705972e+02 1.1166741609e+02 1.1166706042e+02 1.1166706042e+02 1.3849253140e-01 1.3849247639e-01 1.3849248475e-01 1.3849253009e-01 1.3849252684e-01 1.5349984613e+02 6.5536000000e+04 1.6384000000e+04 1.5525000000e+02 3.1950000000e+02 1.5349984169e+02 1.5350020027e+02 1.5349984613e+02 1.5349984613e+02 2.3795302031e+02 2.3795301437e+02 2.3795354843e+02 0 0 0 0 0 0 0 0
7 8.4585584959e+01 8.4586575010e+01 8.4586569237e+01 4.0960000000e+03 1.0240000000e+03 8.5976741041e+01 9.2086915466e+01 8.4585585010e+01 8.4585876527e+01 8.4585584959e+01 8.4585584959e+01 1.2543985330e-01 1.2543983048e-01 1.2543984261e-01 1.2543985100e-01 1.2543985027e-01 8.8442918319e+01 6.5536000000e+04 1.6384000000e+04 8.9437500000e+01 2.4162500000e+02 8.8442915916e+01 8.8443097115e+01 8.8442918319e+01 8.8442918319e+01 1.4008935812e+02 1.4008935547e+02 1.4008963585e+02 0 0 0 0 0 0 0 0
8 6.6435755541e+01 6.6436599682e+01 6.6436643780e+01 4.0960000000e+03 1.0240000000e+03 6.7646138101e+01 7.7768888381e+01 6.6435756312e+01 6.6436048461e+01 6.6435755541e+01 6.6435755541e+01 1.1489549593e-01 1.1489548632e-01 1.1489549487e-01 1.1489549250e-01 1.1489549486e-01 5.2152268063e+01 6.5536000000e+04 1.6384000000e+04 5.2718750000e+01 1.7625000000e+02 5.2152267933e+01 5.2152356148e+01 5.2152268063e+01 5.2152268063e+01 8.4853561882e+01 8.4853562355e+01 8.4853695869e+01 0 0 0 0 0 0 0 0
9 5.4834766553e+01 5.4835578540e+01 5.4835560731e+01 4.0960000000e+03 1.0240000000e+03 5.6071383076e+01 6.5115282384e+01 5.4834768785e+01 5.4835021452e+01 5.4834766553e+01 5.4834766553e+01 1.0566115592e-01 1.0566117416e-01 1.0566118487e-01 1.0566115109e-01 1.0566115509e-01 3.2804904959e+01 6.5536000000e+04 1.6384000000e+04 3.3156250000e+01 1.2256250000e+02 3.2804905415e+01 3.2804969788e+01 3.2804904959e+01 3.2804904959e+01 5.5489342577e+01 5.5489344597e+01 5.5489440441e+01 0 0 0 0 0 0 0 0
