matrix=data/matrices/s3dkq4m2.mtx n=90449 seed=11
iter res_d res_f res_ffma res_p32q res_p32n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p32q pAp_p32n rz_d rz_p32q rz_p32n guard_p32q guard_p32n
0 1.5288476422e+05 1.5288166027e+05 1.5288166027e+05 1.5288473462e+05 1.5283628805e+05 2.9738276181e+01 2.9736987448e+01 2.9736987448e+01 2.9738276778e+01 2.9733716419e+01 2.3030975569e+08 2.3030976000e+08 2.3025260800e+08 1.0797682774e+08 1.0797683200e+08 1.0793347200e+08 0 0
1 7.1389576287e+04 7.1385749614e+04 7.1385749614e+04 7.1389583106e+04 7.1369097178e+04 3.5448059975e+01 3.5447070784e+01 3.5447068745e+01 3.5448060128e+01 3.5446767661e+01 3.3035749631e+07 3.3035752000e+07 3.3021872000e+07 1.6612754909e+07 1.6612756000e+07 1.6605924000e+07 0 0
2 3.6949582832e+04 3.6946769926e+04 3.6946761265e+04 3.6949581215e+04 3.6941404846e+04 4.8380853343e+01 4.8379235686e+01 4.8379231530e+01 4.8380853445e+01 4.8378941208e+01 6.5914802718e+06 6.5914800000e+06 6.5893430000e+06 3.9755075711e+06 3.9755075000e+06 3.9740025000e+06 0 0
3 2.3137838300e+04 2.3135602348e+04 2.3135598198e+04 2.3137836718e+04 2.3132907124e+04 5.1824307100e+01 5.1823546160e+01 5.1823546125e+01 5.1824307250e+01 5.1824433791e+01 1.7730713625e+06 1.7730715000e+06 1.7723020000e+06 1.0485466777e+06 1.0485467500e+06 1.0480955000e+06 0 0
4 1.7226616114e+04 1.7224675324e+04 1.7224675324e+04 1.7226613829e+04 1.7223433339e+04 4.9470368815e+01 4.9470652230e+01 4.9470654413e+01 4.9470368714e+01 4.9471543798e+01 5.2409831329e+05 5.2409834375e+05 5.2388659375e+05 4.1687746337e+05 4.1687746875e+05 4.1670125000e+05 0 0
5 1.2956038602e+04 1.2954177705e+04 1.2954178322e+04 1.2956038901e+04 1.2953257505e+04 4.6566977507e+01 4.6567413211e+01 4.6567414666e+01 4.6566977484e+01 4.6567490161e+01 3.3570067420e+05 3.3570065625e+05 3.3555418750e+05 2.4879229588e+05 2.4879228125e+05 2.4867864062e+05 0 0
6 1.0268336366e+04 1.0266518787e+04 1.0266517618e+04 1.0268335795e+04 1.0265970193e+04 4.4801972841e+01 4.4802128998e+01 4.4802129801e+01 4.4801972944e+01 4.4801950525e+01 1.8178015613e+05 1.8178014062e+05 1.8169420312e+05 1.4349491816e+05 1.4349490625e+05 1.4342332812e+05 0 0
7 8.9453839679e+03 8.9436158236e+03 8.9436149291e+03 8.9453827196e+03 8.9431627515e+03 4.3617780476e+01 4.3617769180e+01 4.3617769209e+01 4.3617780582e+01 4.3617877012e+01 1.1372076721e+05 1.1372075781e+05 1.1366185938e+05 9.2136585689e+04 9.2136578125e+04 9.2086460938e+04 0 0
8 7.2860016431e+03 7.2843421117e+03 7.2843393661e+03 7.2860008235e+03 7.2841900030e+03 4.2415372112e+01 4.2415280759e+01 4.2415280138e+01 4.2415372234e+01 4.2415536196e+01 8.6492093758e+04 8.6492085938e+04 8.6442429688e+04 7.0222296341e+04 7.0222289062e+04 7.0180984375e+04 0 0
9 6.2378104888e+03 6.2361622814e+03 6.2361552258e+03 6.2378098721e+03 6.2360397690e+03 4.0847205129e+01 4.0847182781e+01 4.0847182116e+01 4.0847205335e+01 4.0847294689e+01 6.2331067938e+04 6.2331062500e+04 6.2293644531e+04 4.8331883352e+04 4.8331878906e+04 4.8302091797e+04 0 0
10 5.4229032094e+03 5.4213544433e+03 5.4213494630e+03 5.4229032815e+03 5.4213031644e+03 3.8808166258e+01 3.8808328927e+01 3.8808327532e+01 3.8808166470e+01 3.8808286848e+01 4.1377707326e+04 4.1377703125e+04 4.1351646484e+04 3.4756908938e+04 3.4756906250e+04 3.4734527344e+04 0 0
11 4.5616662574e+03 4.5602504317e+03 4.5602486774e+03 4.5616663622e+03 4.5602271873e+03 3.7024515698e+01 3.7024822024e+01 3.7024818925e+01 3.7024515886e+01 3.7024746458e+01 3.1279604404e+04 3.1279602539e+04 3.1258900391e+04 2.5495560981e+04 2.5495559570e+04 2.5478389648e+04 0 0
12 3.9126569058e+03 3.9113475939e+03 3.9113510454e+03 3.9126566422e+03 3.9114565062e+03 3.5591184522e+01 3.5591526376e+01 3.5591521606e+01 3.5591184716e+01 3.5591446150e+01 2.1109268044e+04 2.1109267578e+04 2.1094777344e+04 1.8096861112e+04 1.8096860352e+04 1.8084290039e+04 0 0
13 3.3437015572e+03 3.3424565816e+03 3.3424636124e+03 3.3437012426e+03 3.3426265122e+03 3.4359753333e+01 3.4360152655e+01 3.4360146228e+01 3.4359753535e+01 3.4360035585e+01 1.6128064673e+04 1.6128063477e+04 1.6116743652e+04 1.3429211691e+04 1.3429210449e+04 1.3419642578e+04 0 0
14 2.8676886729e+03 2.8665203645e+03 2.8665251612e+03 2.8676886163e+03 2.8668146086e+03 3.2946897329e+01 3.2947508559e+01 3.2947501976e+01 3.2946897449e+01 3.2947274194e+01 1.1320869466e+04 1.1320868164e+04 1.1312662598e+04 9.6564588990e+03 9.6564580078e+03 9.6494130859e+03 0 0
15 2.4862771165e+03 2.4851481847e+03 2.4851532146e+03 2.4862769355e+03 2.4854679640e+03 3.1403472045e+01 3.1404386944e+01 3.1404380182e+01 3.1403472125e+01 3.1403959657e+01 8.6442554462e+03 8.6442548828e+03 8.6379614258e+03 7.2455904277e+03 7.2455898438e+03 7.2402341309e+03 0 0
16 2.1572378322e+03 2.1562067387e+03 2.1562118402e+03 2.1572378172e+03 2.1565354159e+03 2.9974720629e+01 2.9975861604e+01 2.9975854177e+01 2.9974720691e+01 2.9975253951e+01 6.4879559182e+03 6.4879553223e+03 6.4830732422e+03 5.4606557495e+03 5.4606552734e+03 5.4565214844e+03 0 0
17 1.9412203808e+03 1.9402645438e+03 1.9402716305e+03 1.9412202348e+03 1.9405947542e+03 2.8728541344e+01 2.8729806505e+01 2.8729797324e+01 2.8728541495e+01 2.8729101026e+01 4.8896613019e+03 4.8896608887e+03 4.8859260254e+03 4.1825053386e+03 4.1825048828e+03 4.1793005371e+03 0 0
18 1.7257184440e+03 1.7248138305e+03 1.7248209327e+03 1.7257182563e+03 1.7251569494e+03 2.7548415158e+01 2.7549793596e+01 2.7549782763e+01 2.7548415361e+01 2.7549011479e+01 3.9542849500e+03 3.9542844849e+03 3.9512451782e+03 3.3611138550e+03 3.3611134033e+03 3.3585231934e+03 0 0
19 1.5708665169e+03 1.5700027070e+03 1.5700087579e+03 1.5708663215e+03 1.5703209863e+03 2.6340567903e+01 2.6342062427e+01 2.6342049277e+01 2.6340568136e+01 2.6341189504e+01 3.0311558532e+03 3.0311553345e+03 3.0288218384e+03 2.6517715362e+03 2.6517710571e+03 2.6497183838e+03 0 0
20 1.4276777782e+03 1.4268553711e+03 1.4268601456e+03 1.4276775721e+03 1.4271849915e+03 2.5086200719e+01 2.5087820818e+01 2.5087806551e+01 2.5086201026e+01 2.5086835808e+01 2.5431691295e+03 2.5431686401e+03 2.5411905518e+03 2.2295632766e+03 2.2295628052e+03 2.2278170166e+03 0 0
