matrix=data/matrices/mhd4800b.mtx n=4800 seed=11
iter res_d res_f res_ffma res_p8q res_p8n res_p16q res_p16n res_p32q res_p32n res_p64q res_p64n solerr_d solerr_f solerr_p32q solerr_p32n pAp_d pAp_p8q pAp_p8n pAp_p16q pAp_p16n pAp_p32q pAp_p32n pAp_p64q pAp_p64n rz_d rz_p32q rz_p32n guard_p8q guard_p8n guard_p16q guard_p16n guard_p32q guard_p32n guard_p64q guard_p64n
0 1.3423108880e+00 1.3423032735e+00 1.3423032735e+00 1.4142135624e+00 1.8708286934e+00 1.3424775953e+00 1.3329874226e+00 1.3423108834e+00 1.3423105281e+00 1.3423108880e+00 1.3423108880e+00 2.2771866446e+02 2.2771833012e+02 2.2771866718e+02 2.2771860076e+02 5.9796459309e+01 5.6000000000e+01 2.4000000000e+01 5.9812500000e+01 5.2406250000e+01 5.9796459675e+01 5.9796463490e+01 5.9796459309e+01 5.9796459309e+01 4.6606283640e+01 4.6606283665e+01 4.6606273174e+01 0 0 0 0 0 0 0 0
1 5.9104643579e-01 5.9104325053e-01 5.9104325053e-01 6.3737743920e-01 6.1237243570e-01 5.9086470004e-01 5.8473835629e-01 5.9104643979e-01 5.9104631688e-01 5.9104643579e-01 5.9104643579e-01 1.0117313353e+02 1.0117353471e+02 1.0117313229e+02 1.0117318436e+02 4.4996571796e+00 1.0000000000e+01 6.5000000000e+00 4.4824218750e+00 4.0273437500e+00 4.4996570945e+00 4.4996545017e+00 4.4996571796e+00 4.4996571796e+00 4.5574168923e+00 4.5574167967e+00 4.5574135780e+00 0 0 0 0 0 0 0 0
2 2.0228847937e-01 2.0228744187e-01 2.0228747870e-01 4.5069390943e-01 8.6602540378e-01 2.0199505428e-01 2.0618192532e-01 2.0228847776e-01 2.0228835000e-01 2.0228847937e-01 2.0228847937e-01 4.0387765351e+01 4.0387819723e+01 4.0387755908e+01 4.0387774475e+01 1.0714711548e+00 5.5000000000e+00 5.0000000000e+00 1.0673828125e+00 9.5703125000e-01 1.0714711249e+00 1.0714703649e+00 1.0714711548e+00 1.0714711548e+00 9.7858879016e-01 9.7858875990e-01 9.7858793288e-01 0 0 0 0 0 0 0 0
3 6.0749184909e-02 6.0748420484e-02 6.0748395572e-02 1.5000000000e+00 6.1237243570e-01 6.0483838153e-02 5.5035167202e-02 6.0749181750e-02 6.0749078748e-02 6.0749184909e-02 6.0749184909e-02 2.4687732410e+01 2.4687789887e+01 2.4687733296e+01 2.4687734707e+01 9.7318978782e-02 2.2500000000e+00 1.5000000000e+00 9.7778320312e-02 8.5784912109e-02 9.7318979446e-02 9.7318865824e-02 9.7318978782e-02 9.7318978782e-02 9.9909251802e-02 9.9909251556e-02 9.9909138400e-02 0 0 0 0 0 0 0 0
4 1.6744820455e-02 1.6744658729e-02 1.6744660467e-02 7.4833147735e+00 5.6568542495e+00 1.6984889776e-02 1.9677189140e-02 1.6744818416e-02 1.6744820372e-02 1.6744820455e-02 1.6744820455e-02 2.2306279977e+01 2.2306199230e+01 2.2306254683e+01 2.2306250351e+01 1.4229127814e-02 4.8000000000e+01 1.0000000000e+01 1.4579772949e-02 1.2657165527e-02 1.4229124761e-02 1.4229113003e-02 1.4229127814e-02 1.4229127814e-02 1.4864728853e-02 1.4864726923e-02 1.4864711440e-02 0 0 0 0 0 0 0 0
5 1.3693040861e-02 1.3692745177e-02 1.3692739863e-02 9.7979589711e+00 5.6568542495e+00 1.4134877760e-02 1.2118821920e-02 1.3693036366e-02 1.3692991998e-02 1.3693040861e-02 1.3693040861e-02 9.7141591238e+00 9.7142143821e+00 9.7141567956e+00 9.7141581249e+00 5.2755495627e-03 1.6384000000e+04 6.5536000000e+04 5.6762695312e-03 4.5700073242e-03 5.2755470970e-03 5.2755390643e-03 5.2755495627e-03 5.2755495627e-03 4.4841855565e-03 4.4841837953e-03 4.4841779745e-03 0 0 0 0 0 0 0 0
6 9.1329729881e-03 9.1327764352e-03 9.1327764352e-03 1.0583005244e+01 5.6568542495e+00 9.3286001829e-03 8.8296588477e-03 9.1329718205e-03 9.1329491154e-03 9.1329729881e-03 9.1329729881e-03 7.8889901703e+00 7.8889838371e+00 7.8889606308e+00 7.8889785354e+00 1.5279314168e-03 2.6214400000e+05 6.5536000000e+04 1.5525817871e-03 1.2302398682e-03 1.5279313666e-03 1.5279282234e-03 1.5279314168e-03 1.5279314168e-03 1.6784081707e-03 1.6784078616e-03 1.6784045729e-03 0 0 0 0 0 0 0 0
7 4.5169445322e-03 4.5170292459e-03 4.5170354876e-03 1.0583005244e+01 5.6568542495e+00 4.4751715771e-03 6.0495662565e-03 4.5169441755e-03 4.5169450816e-03 4.5169445322e-03 4.5169445322e-03 5.6041213954e+00 5.6041440532e+00 5.6040849225e+00 5.6040948134e+00 2.9409497526e-04 1.0485760000e+06 6.5536000000e+04 2.9945373535e-04 3.0422210693e-04 2.9409493436e-04 2.9409467970e-04 2.9409497526e-04 2.9409497526e-04 3.8508870798e-04 3.8508866419e-04 3.8508795842e-04 0 0 0 0 0 0 0 0
8 2.0037135449e-03 2.0036659940e-03 2.0036638379e-03 1.1313708499e+01 5.6568542495e+00 1.9834078136e-03 2.0206232126e-03 2.0037138815e-03 2.0037002643e-03 2.0037135449e-03 2.0037135449e-03 5.1484125133e+00 5.1484142644e+00 5.1483787452e+00 5.1484106910e+00 9.3854691791e-05 1.0485760000e+06 6.5536000000e+04 9.4890594482e-05 1.0991096497e-04 9.3854690931e-05 9.3854319857e-05 9.3854691791e-05 9.3854691791e-05 1.0530992052e-04 1.0530993313e-04 1.0530963118e-04 0 0 0 0 0 0 0 0
9 6.3994940354e-04 6.3998916840e-04 6.3999134447e-04 1.1313708499e+01 5.6568542495e+00 5.8542865275e-04 7.9580107485e-04 6.3995002008e-04 6.3995335100e-04 6.3994940354e-04 6.3994940354e-04 4.3077917912e+00 4.3078220480e+00 4.3077420109e+00 4.3077506923e+00 1.3640217672e-05 1.0485760000e+06 6.5536000000e+04 1.4364719391e-05 1.8835067749e-05 1.3640224097e-05 1.3640205907e-05 1.3640217672e-05 1.3640217672e-05 1.6222035531e-05 1.6222051272e-05 1.6222046725e-05 0 0 0 0 0 0 0 0
