iter  min_term_f  max_term_f  min_term_p  max_term_p  pct_terms_outside_posit_zone  pAp_f  pAp_p
   0  1.102968e-11  2.918253e+01  1.111057e-11  2.918387e+01  71.17  8.763819e+01  8.763864e+01
   1  7.088328e-11  2.111711e+01  6.793652e-11  2.111881e+01  55.62  2.865981e+02  2.866174e+02
   2  8.137397e-11  1.623607e+01  8.179608e-11  1.623842e+01  50.88  2.747335e+02  2.747734e+02
   3  4.680171e-11  1.037085e+01  3.116516e-11  1.037286e+01  48.39  1.707007e+02  1.707345e+02
   4  2.242874e-10  1.562480e+01  2.272318e-10  1.562879e+01  44.30  1.755296e+02  1.755736e+02
   5  5.292946e-10  1.017174e+01  5.184833e-10  1.017516e+01  39.96  1.926450e+02  1.927044e+02
   6  7.954821e-11  1.529958e+01  1.331002e-11  1.530400e+01  38.09  3.203333e+02  3.204528e+02
   7  1.395160e-10  6.980831e+00  1.378256e-10  6.983716e+00  35.62  2.858911e+02  2.860171e+02
   8  6.119042e-10  2.932659e+01  7.206529e-10  2.934168e+01  35.46  2.867219e+02  2.868668e+02
   9  1.092252e-09  9.730205e+00  1.144435e-09  9.734935e+00  35.58  2.561326e+02  2.562831e+02
  10  1.959170e-10  1.841322e+01  9.875029e-11  1.842438e+01  35.39  2.659540e+02  2.661210e+02
  11  8.738468e-11  6.882402e+00  7.124844e-11  6.886639e+00  35.26  1.999780e+02  2.001124e+02
  12  7.806005e-10  1.557956e+01  6.557323e-10  1.558936e+01  34.64  1.636641e+02  1.637838e+02
  13  4.316100e-10  5.986508e+00  2.391413e-10  5.991243e+00  31.05  1.808375e+02  1.809804e+02
  14  3.845085e-10  1.864892e+01  4.252334e-10  1.866384e+01  29.72  2.606176e+02  2.608389e+02
  15  5.777340e-10  1.007807e+01  6.019885e-10  1.008736e+01  26.35  2.018203e+02  2.019998e+02
  16  4.033593e-09  2.117209e+01  4.185476e-09  2.118988e+01  25.05  2.580878e+02  2.583341e+02
  17  4.944789e-10  1.549178e+01  4.924308e-10  1.550708e+01  25.60  2.764506e+02  2.767271e+02
  18  3.846037e-10  1.079553e+01  2.332779e-09  1.080531e+01  23.37  2.134839e+02  2.137017e+02
  19  3.682064e-10  1.098254e+01  3.588475e-10  1.099389e+01  22.78  2.290466e+02  2.292902e+02
  20  1.393530e-11  1.160828e+01  1.285607e-11  1.161912e+01  22.05  2.392031e+02  2.394662e+02
  21  3.626740e-09  1.259457e+01  3.689268e-09  1.260787e+01  19.81  2.219455e+02  2.221974e+02
  22  1.414500e-09  1.555104e+01  1.501341e-09  1.556784e+01  19.02  2.389114e+02  2.391864e+02
  23  3.328246e-12  1.021905e+01  1.478031e-10  1.022990e+01  18.38  2.281412e+02  2.284101e+02
  24  1.246898e-09  2.131688e+01  6.519839e-10  2.134073e+01  16.05  2.268441e+02  2.271165e+02
  25  4.562591e-09  1.126795e+01  4.632675e-09  1.128059e+01  14.75  2.708012e+02  2.711322e+02
  26  8.343646e-09  3.319499e+01  1.153638e-08  3.323382e+01  12.35  2.510991e+02  2.514144e+02
  27  3.237505e-11  1.939929e+01  4.159776e-11  1.942153e+01  9.49  3.629376e+02  3.634003e+02
  28  2.786644e-09  6.076681e+01  8.767330e-10  6.084391e+01  8.06  4.538553e+02  4.544607e+02
  29  2.443376e-10  2.074037e+01  1.477087e-10  2.076771e+01  6.62  5.353450e+02  5.360733e+02
  30  3.698431e-09  9.069071e+01  1.324582e-09  9.081380e+01  5.87  5.140364e+02  5.147603e+02
