matrix=data/matrices/s3dkq4m2.mtx n=90449 seed=9
iter res_d res_f res_ffma res_p32q res_p32n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p32q pAp_p32n rz_d rz_p32q rz_p32n guard_p32q guard_p32n
0 1.5219036669e+05 1.5218850122e+05 1.5218849449e+05 1.5219033136e+05 1.5214694034e+05 2.9855822066e+01 2.9854736944e+01 2.9854736944e+01 2.9855823975e+01 2.9850161381e+01 2.3296431468e+08 2.3296428800e+08 2.3291052800e+08 1.0944051774e+08 1.0944051200e+08 1.0939449600e+08 0 0
1 7.1730866100e+04 7.1727587775e+04 7.1727591344e+04 7.1730896216e+04 7.1707137720e+04 3.5049194876e+01 3.5048428446e+01 3.5048428446e+01 3.5049197330e+01 3.5047400253e+01 3.2563997146e+07 3.2564000000e+07 3.2547880000e+07 1.6444715154e+07 1.6444718000e+07 1.6436680000e+07 0 0
2 3.7195686769e+04 3.7193415331e+04 3.7193411890e+04 3.7195688352e+04 3.7185101533e+04 4.7871879600e+01 4.7870677124e+01 4.7870674902e+01 4.7871882818e+01 4.7869039386e+01 6.6662373757e+06 6.6662390000e+06 6.6636310000e+06 4.0215703936e+06 4.0215715000e+06 4.0197045000e+06 0 0
3 2.3298651373e+04 2.3296700539e+04 2.3296701913e+04 2.3298659189e+04 2.3292153529e+04 5.1277684536e+01 5.1277066651e+01 5.1277066010e+01 5.1277685729e+01 5.1277436273e+01 1.7825788066e+06 1.7825795000e+06 1.7815832500e+06 1.0572358692e+06 1.0572362500e+06 1.0566455000e+06 0 0
4 1.7165471273e+04 1.7163843859e+04 1.7163847587e+04 1.7165472321e+04 1.7161564497e+04 4.8924137248e+01 4.8924323065e+01 4.8924323858e+01 4.8924135697e+01 4.8925570760e+01 5.2883449990e+05 5.2883462500e+05 5.2855756250e+05 4.2031779128e+05 4.2031790625e+05 4.2008909375e+05 0 0
5 1.2912728150e+04 1.2911286226e+04 1.2911281269e+04 1.2912731082e+04 1.2909385113e+04 4.6053475776e+01 4.6053788777e+01 4.6053790445e+01 4.6053473847e+01 4.6054220726e+01 3.3172317907e+05 3.3172328125e+05 3.3153587500e+05 2.4618166572e+05 2.4618175000e+05 2.4604037500e+05 0 0
6 1.0295388550e+04 1.0293942685e+04 1.0293939965e+04 1.0295389259e+04 1.0292428285e+04 4.4262868718e+01 4.4263023272e+01 4.4263023342e+01 4.4262867570e+01 4.4262990585e+01 1.7907427687e+05 1.7907435938e+05 1.7897214062e+05 1.4149719476e+05 1.4149725000e+05 1.4141142188e+05 0 0
7 8.8907982677e+03 8.8892730861e+03 8.8892730861e+03 8.8907988392e+03 8.8880864082e+03 4.3064111238e+01 4.3064143287e+01 4.3064142003e+01 4.3064110264e+01 4.3064332633e+01 1.0895570891e+05 1.0895574219e+05 1.0888614062e+05 9.0095681649e+04 9.0095710938e+04 9.0035406250e+04 0 0
8 7.2789552414e+03 7.2774924253e+03 7.2774970972e+03 7.2789559691e+03 7.2767256373e+03 4.1896808596e+01 4.1896755856e+01 4.1896754651e+01 4.1896807268e+01 4.1897046541e+01 8.4172084383e+04 8.4172109375e+04 8.4112570312e+04 6.8873465247e+04 6.8873484375e+04 6.8823617188e+04 0 0
9 6.2329138272e+03 6.2314338639e+03 6.2314425296e+03 6.2329139253e+03 6.2308419977e+03 4.0391160535e+01 4.0391122253e+01 4.0391121889e+01 4.0391158637e+01 4.0391251110e+01 6.1191605435e+04 6.1191623047e+04 6.1146494141e+04 4.7992349774e+04 4.7992363281e+04 4.7956457031e+04 0 0
