iter  min_term_f  max_term_f  min_term_p  max_term_p  pct_terms_outside_posit_zone  pAp_f  pAp_p
   0  8.825337e-13  8.877009e-06  8.821653e-13  4.943156e-06  100.00  4.000038e+01  4.000040e+01
   1  5.447440e-12  1.510297e-05  5.451677e-12  1.510313e-05  100.00  2.815922e-04  2.815937e-04
   2  2.456583e-12  4.620790e-05  2.454505e-12  4.620863e-05  99.94  4.336752e-04  4.336786e-04
   3  1.370723e-11  7.576227e-05  1.354833e-11  7.576319e-05  99.61  3.081530e-03  3.081608e-03
   4  2.688019e-12  9.736792e-05  1.362447e-11  9.737102e-05  97.29  9.810616e-04  9.810556e-04
   5  2.528438e-11  2.092420e-04  2.545446e-11  2.092468e-04  92.41  3.677054e-03  3.677194e-03
   6  2.604845e-11  2.717907e-04  1.258961e-11  2.717917e-04  90.31  6.881094e-03  6.881341e-03
   7  1.630834e-11  2.012020e-04  1.088385e-11  2.012103e-04  92.97  3.352422e-03  3.352234e-03
   8  1.634132e-11  3.445121e-04  1.625773e-11  3.445216e-04  93.69  6.256451e-03  6.257042e-03
   9  3.648575e-12  4.071609e-04  4.045087e-12  4.071626e-04  96.07  3.595648e-03  3.595589e-03
  10  3.080400e-11  4.335586e-04  8.845735e-12  4.335738e-04  96.57  3.296242e-03  3.296005e-03
  11  9.024865e-11  3.444241e-04  4.523575e-12  3.444299e-04  96.51  3.900023e-03  3.900717e-03
  12  7.293287e-11  2.779166e-04  2.772604e-12  2.779169e-04  97.12  2.930874e-03  2.930586e-03
  13  6.470908e-12  2.504153e-04  5.847299e-12  2.504199e-04  97.18  2.695430e-03  2.695356e-03
  14  9.313039e-12  3.012630e-04  9.656029e-13  3.012613e-04  97.18  3.324137e-03  3.324804e-03
  15  1.561172e-11  3.530409e-04  1.015449e-12  3.530553e-04  96.23  2.177498e-03  2.176823e-03
  16  3.547191e-11  4.124898e-04  5.379957e-12  4.124911e-04  94.52  4.364114e-03  4.365218e-03
  17  1.561011e-11  2.202203e-04  2.471650e-12  2.201925e-04  95.51  4.549381e-03  4.549952e-03
  18  7.721307e-12  6.708732e-05  2.705947e-12  6.708125e-05  98.67  2.724272e-03  2.722934e-03
  19  4.521633e-12  4.444917e-05  1.282818e-13  4.444867e-05  98.89  2.036832e-03  2.037840e-03
  20  4.161664e-11  7.068877e-05  9.095481e-14  7.069304e-05  99.28  1.419900e-03  1.419243e-03
  21  4.363551e-11  7.037105e-05  1.359347e-12  7.037120e-05  99.34  1.445192e-03  1.445360e-03
  22  1.131330e-11  6.862688e-05  4.200467e-13  6.861567e-05  99.61  1.483431e-03  1.483932e-03
  23  2.011457e-11  3.622769e-05  4.889790e-13  3.622317e-05  99.89  9.086985e-04  9.078810e-04
  24  1.601133e-11  3.393205e-05  1.150824e-13  3.392189e-05  99.89  1.195860e-03  1.196958e-03
  25  1.350953e-11  4.641609e-05  8.753753e-14  4.641549e-05  99.67  9.716444e-04  9.710959e-04
  26  8.080937e-14  4.799505e-05  4.701751e-13  4.798630e-05  99.67  9.106103e-04  9.103748e-04
  27  4.633114e-13  4.149747e-05  1.728602e-13  4.145332e-05  99.89  1.088290e-03  1.089207e-03
  28  5.162196e-12  5.112003e-05  2.276258e-13  5.108194e-05  99.94  5.722930e-04  5.711906e-04
  29  1.236281e-11  6.462285e-05  1.279405e-13  6.464790e-05  99.83  5.556052e-04  5.559681e-04
  30  2.394680e-12  4.522652e-05  8.955927e-14  4.522413e-05  99.89  5.951261e-04  5.956696e-04
